Original Item,Consolidated To
Abstract thinking,Cognitive Abilities
Reasoning ability,Cognitive Abilities
Memory,Cognitive Abilities
Managing thoughts,Cognitive Abilities
Thinking speed,Cognitive Abilities
Decision-making,Cognitive Abilities
Problem solving and conflict resolution,Cognitive Abilities
Observation,Cognitive Abilities
Curiosity,Cognitive Abilities
Asking questions,Cognitive Abilities
Emotional control,Emotional Regulation & Well-being
Managing emotions,Emotional Regulation & Well-being
Regulating emotions,Emotional Regulation & Well-being
Emotional awareness,Emotional Regulation & Well-being
Emotional expression,Emotional Regulation & Well-being
Emotional well-being,Emotional Regulation & Well-being
Mood,Emotional Regulation & Well-being
Frustration tolerance,Emotional Regulation & Well-being
Stress management,Emotional Regulation & Well-being
Coping skills,Emotional Regulation & Well-being
Worrying,Emotional Regulation & Well-being
Self-awareness,Self-Concept & Identity
Self-acceptance,Self-Concept & Identity
Self-advocacy,Self-Concept & Identity
Self-kindness,Self-Concept & Identity
Self-confidence,Self-Concept & Identity
Self-control,Self-Concept & Identity
Self-monitoring,Self-Concept & Identity
Self-reflection,Self-Concept & Identity
Independence,Self-Concept & Identity
Integrity and honesty,Self-Concept & Identity
Relationships with others,Social Skills & Relationships
Relationships with peers,Social Skills & Relationships
Relationships with parents,Social Skills & Relationships
Relationships with teachers,Social Skills & Relationships
Social awareness,Social Skills & Relationships
Comfort in social situations,Social Skills & Relationships
Social communication,Social Skills & Relationships
Social cooperation,Social Skills & Relationships
Social activity,Social Skills & Relationships
Social skills,Social Skills & Relationships
Collaboration with others,Social Skills & Relationships
Kindness and caring,Interpersonal Values & Character
Empathy,Interpersonal Values & Character
Fairness,Interpersonal Values & Character
Helpfulness,Interpersonal Values & Character
Respect for others,Interpersonal Values & Character
Politeness,Interpersonal Values & Character
Respecting differences,Interpersonal Values & Character
Response to peer pressure,Interpersonal Values & Character
Feeling accepted,Interpersonal Values & Character
Attention,Executive Function & Behavior Management
Organization,Executive Function & Behavior Management
Planning,Executive Function & Behavior Management
Time management,Executive Function & Behavior Management
Task completion,Executive Function & Behavior Management
Task initiation,Executive Function & Behavior Management
Managing behavior,Executive Function & Behavior Management
Following rules and directions,Executive Function & Behavior Management
Managing transitions,Executive Function & Behavior Management
Self-control,Executive Function & Behavior Management
Academic performance,Academic Performance & Learning
Knowledge and skills,Academic Performance & Learning
Learning,Academic Performance & Learning
Learning from feedback and mistakes,Academic Performance & Learning
Reading,Academic Performance & Learning
Writing,Academic Performance & Learning
Class participation,Academic Performance & Learning
Work habits,Academic Performance & Learning
Expressive communication,Communication Skills
Receptive communication,Communication Skills
Speech,Communication Skills
Social communication,Communication Skills
Motivation,Motivation & Goal Orientation
Effort,Motivation & Goal Orientation
Setting and striving for goals,Motivation & Goal Orientation
Sense of purpose,Motivation & Goal Orientation
Future outlook,Motivation & Goal Orientation
Initiative,Motivation & Goal Orientation
Perseverance,Motivation & Goal Orientation
Adaptibility,Adaptability & Resilience
Resourcefulness,Adaptability & Resilience
Resilience,Adaptability & Resilience
Willingness to try new things,Adaptability & Resilience
Managing conflict,Adaptability & Resilience
Patience,Adaptability & Resilience
Openness,Adaptability & Resilience
Physical activity,Physical Health & Self-Care
Self-care / hygiene,Physical Health & Self-Care
Eating and diet,Physical Health & Self-Care
Sleep and fatigue,Physical Health & Self-Care
Energy Level,Physical Health & Self-Care
Morning routine,Physical Health & Self-Care
Activity level,Behavioral Patterns & Habits
Habits / routines,Behavioral Patterns & Habits
Responsibility for stuff,Behavioral Patterns & Habits
Responsibility for self and others,Behavioral Patterns & Habits
Sense of safety,Safety & Risk Behaviors
Bullying,Safety & Risk Behaviors
Sexual behavior,Safety & Risk Behaviors
Substance use,Safety & Risk Behaviors
Creativity and imagination,Creative Expression & Play
Play,Creative Expression & Play
Leadership,Leadership & Assertiveness
Assertiveness,Leadership & Assertiveness
Seeking help,Leadership & Assertiveness
