Original Item,Consolidated To,Rationale
Reading,Academic skills,Core academic competencies and achievement
Writing,Academic skills,Core academic competencies and achievement
Academic performance,Academic skills,Core academic competencies and achievement
Assertiveness,Assertiveness,Standalone - distinct concept
Attention,Attention,Standalone - distinct concept
Managing thoughts,Behavioral management,Self-regulation of behavior and adherence to expectations
Self-control,Behavioral management,Self-regulation of behavior and adherence to expectations
Following rules and directions,Behavioral management,Self-regulation of behavior and adherence to expectations
Managing behavior,Behavioral management,Self-regulation of behavior and adherence to expectations
Bullying,Bullying,Standalone - distinct concept
Class participation,Class participation,Standalone - distinct concept
Abstract thinking,Cognitive abilities,Core cognitive processing abilities that underlie intellectual functioning
Memory,Cognitive abilities,Core cognitive processing abilities that underlie intellectual functioning
Reasoning ability,Cognitive abilities,Core cognitive processing abilities that underlie intellectual functioning
Thinking speed,Cognitive abilities,Core cognitive processing abilities that underlie intellectual functioning
Speech,Communication skills,Various forms of verbal and social communication abilities
Receptive communication,Communication skills,Various forms of verbal and social communication abilities
Expressive communication,Communication skills,Various forms of verbal and social communication abilities
Social communication,Communication skills,Various forms of verbal and social communication abilities
Coping skills,Coping and resilience,Ability to handle challenges and bounce back from difficulties
Resilience,Coping and resilience,Ability to handle challenges and bounce back from difficulties
Adaptibility,Coping and resilience,Ability to handle challenges and bounce back from difficulties
Creativity and imagination,Creativity and imagination,Standalone - distinct concept
Curiosity,Curiosity,Standalone - distinct concept
Emotional awareness,Emotional awareness and expression,Understanding and expressing one's emotional states
Emotional expression,Emotional awareness and expression,Understanding and expressing one's emotional states
Mood,Emotional awareness and expression,Understanding and expressing one's emotional states
Frustration tolerance,Emotional regulation,Ability to manage and control emotional responses and stress
Regulating emotions,Emotional regulation,Ability to manage and control emotional responses and stress
Managing emotions,Emotional regulation,Ability to manage and control emotional responses and stress
Stress management,Emotional regulation,Ability to manage and control emotional responses and stress
Emotional control,Emotional regulation,Ability to manage and control emotional responses and stress
Emotional well-being,Emotional well-being,Standalone - distinct concept
Empathy,Empathy and caring,Prosocial attitudes and behaviors toward others
Helpfulness,Empathy and caring,Prosocial attitudes and behaviors toward others
Kindness and caring,Empathy and caring,Prosocial attitudes and behaviors toward others
Managing transitions,Executive functioning,"Core executive function skills for planning, organizing, and completing tasks"
Task initiation,Executive functioning,"Core executive function skills for planning, organizing, and completing tasks"
Task completion,Executive functioning,"Core executive function skills for planning, organizing, and completing tasks"
Organization,Executive functioning,"Core executive function skills for planning, organizing, and completing tasks"
Time management,Executive functioning,"Core executive function skills for planning, organizing, and completing tasks"
Planning,Executive functioning,"Core executive function skills for planning, organizing, and completing tasks"
Future outlook,Future outlook,Standalone - distinct concept
Independence,Independence,Standalone - distinct concept
Relationships with peers,Interpersonal relationships,All forms of social relationships across different contexts and people
Relationships with others,Interpersonal relationships,All forms of social relationships across different contexts and people
Relationships with teachers,Interpersonal relationships,All forms of social relationships across different contexts and people
Relationships with parents,Interpersonal relationships,All forms of social relationships across different contexts and people
Leadership,Leadership,Standalone - distinct concept
Learning from feedback and mistakes,Learning and knowledge acquisition,Processes and behaviors that support acquiring new information and skills
Knowledge and skills,Learning and knowledge acquisition,Processes and behaviors that support acquiring new information and skills
Learning,Learning and knowledge acquisition,Processes and behaviors that support acquiring new information and skills
Asking questions,Learning and knowledge acquisition,Processes and behaviors that support acquiring new information and skills
Motivation,Motivation,Standalone - distinct concept
Observation,Observation,Standalone - distinct concept
Openness,Openness,Standalone - distinct concept
Patience,Patience,Standalone - distinct concept
Sleep and fatigue,Physical health and activity,"Physical wellness components including activity, energy, and health maintenance behaviors"
Self-care / hygiene,Physical health and activity,"Physical wellness components including activity, energy, and health maintenance behaviors"
Energy Level,Physical health and activity,"Physical wellness components including activity, energy, and health maintenance behaviors"
Activity level,Physical health and activity,"Physical wellness components including activity, energy, and health maintenance behaviors"
Physical activity,Physical health and activity,"Physical wellness components including activity, energy, and health maintenance behaviors"
Eating and diet,Physical health and activity,"Physical wellness components including activity, energy, and health maintenance behaviors"
Play,Play,Standalone - distinct concept
Resourcefulness,Problem-solving and decision-making,Cognitive skills for analyzing situations and making effective choices
Managing conflict,Problem-solving and decision-making,Cognitive skills for analyzing situations and making effective choices
Decision-making,Problem-solving and decision-making,Cognitive skills for analyzing situations and making effective choices
Problem solving and conflict resolution,Problem-solving and decision-making,Cognitive skills for analyzing situations and making effective choices
Respect for others,Respect and fairness,Moral values and respectful treatment of others
Fairness,Respect and fairness,Moral values and respectful treatment of others
Politeness,Respect and fairness,Moral values and respectful treatment of others
Respecting differences,Respect and fairness,Moral values and respectful treatment of others
Response to peer pressure,Response to peer pressure,Standalone - distinct concept
Responsibility for stuff,Responsibility and integrity,Moral character and accountability for oneself and belongings
Responsibility for self and others,Responsibility and integrity,Moral character and accountability for oneself and belongings
Integrity and honesty,Responsibility and integrity,Moral character and accountability for oneself and belongings
Morning routine,Routines and habits,Established behavioral patterns and daily structure
Habits / routines,Routines and habits,Established behavioral patterns and daily structure
Seeking help,Seeking help,Standalone - distinct concept
Self-kindness,Self-acceptance and confidence,Positive self-regard and confidence in one's abilities and worth
Feeling accepted,Self-acceptance and confidence,Positive self-regard and confidence in one's abilities and worth
Self-acceptance,Self-acceptance and confidence,Positive self-regard and confidence in one's abilities and worth
Self-confidence,Self-acceptance and confidence,Positive self-regard and confidence in one's abilities and worth
Self-advocacy,Self-advocacy,Standalone - distinct concept
Self-awareness,Self-awareness and reflection,Metacognitive awareness of self and social environment
Social awareness,Self-awareness and reflection,Metacognitive awareness of self and social environment
Self-monitoring,Self-awareness and reflection,Metacognitive awareness of self and social environment
Self-reflection,Self-awareness and reflection,Metacognitive awareness of self and social environment
Sense of purpose,Sense of purpose,Standalone - distinct concept
Sense of safety,Sense of safety,Standalone - distinct concept
Setting and striving for goals,Setting and striving for goals,Standalone - distinct concept
Sexual behavior,Sexual behavior,Standalone - distinct concept
Social skills,Social skills and cooperation,Skills for effective social interaction and group participation
Comfort in social situations,Social skills and cooperation,Skills for effective social interaction and group participation
Social activity,Social skills and cooperation,Skills for effective social interaction and group participation
Collaboration with others,Social skills and cooperation,Skills for effective social interaction and group participation
Social cooperation,Social skills and cooperation,Skills for effective social interaction and group participation
Substance use,Substance use,Standalone - distinct concept
Willingness to try new things,Willingness to try new things,Standalone - distinct concept
Initiative,Work habits and effort,Behaviors and attitudes related to task engagement and persistence
Perseverance,Work habits and effort,Behaviors and attitudes related to task engagement and persistence
Effort,Work habits and effort,Behaviors and attitudes related to task engagement and persistence
Work habits,Work habits and effort,Behaviors and attitudes related to task engagement and persistence
Worrying,Worrying,Standalone - distinct concept
