index,instructions,question
306,,"In the past 30 days, how much difficulty did your child have in standing for long periods such as 30 minutes?"
307,,"In the past 30 days, how much difficulty did your child have in taking care of his/her household responsibilities?"
308,,"In the past 30 days, how much difficulty did your child have in learning a new task, for example, learning how to get to a new place?"
309,,"In the past 30 days, how much difficulty did your child have in how much of a problem did he/she have joining in community activities (e.g., festivities, religious, etc) in the same way as anyone else can?"
310,,"In the past 30 days, how much difficulty did your child have in how much has he/she been emotionally affected by his/her health problems?"
311,,"In the past 30 days, how much difficulty did your child have in concentrating on doing something for ten minutes?"
312,,"In the past 30 days, how much difficulty did your child have in walking a long distance such as a half mile [or equivalent]?"
313,,"In the past 30 days, how much difficulty did your child have in washing his/her whole body?"
314,,"In the past 30 days, how much difficulty did your child have in getting dressed?"
315,,"In the past 30 days, how much difficulty did your child have in dealing with people he/she does not know?"
316,,"In the past 30 days, how much difficulty did your child have in maintaining a friendship?"
317,,"In the past 30 days, how much difficulty did your child have in his/her day-to-day work?"
2522,"16. Now, thinking back over the past year in school, how often did you...",enjoy being in school?
2523,"16. Now, thinking back over the past year in school, how often did you...",hate being in school?
2524,"16. Now, thinking back over the past year in school, how often did you...",try to do your best work in school?
2507,,"Putting them all together, what were your grades like last year?"
2509,,"In my school, students have lots of chances to help decide things like class activities and rules."
2510,,Teachers ask me to work on special classroom projects.
2511,,My teacher(s) notices when I am doing a good job and lets me know about it.
2512,,"There are lots of chances for students in my school to get involved in sports, clubs, or other school activities outside of class."
2513,,There are lots of chances for students in my school to talk with a teacher one-to-one.
2514,,I feel safe at my school.
2515,,The school lets my parents know when I have done something well.
2516,,My teachers praise me when I work hard in school.
2517,,Are your school grades better than the grades of most students in your class?
2518,,There are lots of chances to be part of class discussions or activities.
2519,,How often do you feel that the schoolwork you are assigned is meaningful and important?
2520,,How interesting are most of your courses to you?
2521,,How important do you think the things you are learning in school are going to be for your later life?
2337,,I feel calm
2339,,I am tense
2340,,I feel strained
2341,,I feel at ease
2342,,I feel upset
2343,,I am presently worrying over possible misfortunes
2344,,I feel satisfied
2345,,I feel frightened
2346,,10. I feel comfortable
2347,,I feel self-confident
2348,,I feel nervous
2349,,I am jittery
2350,,I feel indecisive
2351,,I am relaxed
2352,,I feel content
2353,,I am worried
2354,,I feel confused
2355,,I feel steady
2357,,I feel pleasant
2358,,I feel nervous and restless
2359,,I feel satisfied with myself
2360,,I wish I could be as happy as others seem to be
2361,,I feel like a failure
2362,,I feel rested
2363,,"I am ""calm, cool, and collected"""
2364,,I feel that difficulties are piling up so that I cannot overcome them
2365,,I worry too much over something that really doesn't matter
2366,,I am happy
2367,,I have disturbing thoughts
2369,,I feel secure
2370,,I make decisions easily
2371,,I feel inadequate
2372,,I am content
2373,,Some unimportant thought runs through my mind and bothers me
2374,,I take disappointments so keenly that I can't put them out of my mind
2375,,I am a steady person
2376,,I get in a state of tension or turmoil as I think over my recent concerns and interests
3920,Childhood ADHD Symptoms: Prior to Age 7,CARELESS/SLOPPY(ACDS_01)
3921,Childhood ADHD Symptoms: Prior to Age 7,DIFFICULTY SUSTAINING ATTENTION(ACDS_02)
3922,Childhood ADHD Symptoms: Prior to Age 7,DOESN'T LISTEN(ACDS_03)
