Source,Category,Subcategory,Brief Description,Description
Clinical scales,Attention and Focus,Attention,Ability to maintain focus,"The student's capacity to direct and sustain attention on tasks, activities, and instructions appropriate for their age and setting."
Clinical scales,Attention and Focus,Distractibility,Susceptibility to losing focus,"The degree to which the student is drawn away from tasks by unrelated stimuli, thoughts, or events in the environment."
Clinical scales,Attention and Focus,Task Completion,Following through on tasks,"The student's ability to complete assignments, activities, and multi-step instructions from start to finish."
Clinical scales,Attention and Focus,Organization,Managing materials and tasks,"The student's ability to keep track of belongings, organize work, and manage time and responsibilities."
Clinical scales,Activity Level,Physical Activity,Body movement and energy,"The student's typical level of physical movement, restlessness, and need for motion during activities that require sitting or stillness."
Clinical scales,Activity Level,Impulse Control,Thinking before acting,"The student's ability to pause, consider consequences, and regulate impulsive responses before acting or speaking."
Clinical scales,Activity Level,Patience,Ability to wait,"The student's capacity to wait their turn, delay gratification, and tolerate situations that require waiting."
Clinical scales,Emotional Well-Being,Mood,Typical emotional state,The student's general emotional tone and typical mood patterns throughout the school day and over time.
Clinical scales,Emotional Well-Being,Sadness,Feelings of unhappiness,"Observable signs that the student experiences persistent sadness, hopelessness, or diminished enjoyment in activities."
Clinical scales,Emotional Well-Being,Self-Worth,How the student views themselves,"The student's expressed or apparent sense of personal value, confidence in abilities, and overall self-regard."
Clinical scales,Emotional Well-Being,Enjoyment,Interest and pleasure,"The student's capacity to experience enjoyment, show enthusiasm, and engage with activities that are typically pleasurable."
Clinical scales,Worry and Fear,General Worry,Overall tendency to worry,"The extent to which the student shows excessive or persistent worry about various aspects of life, school, or the future."
Clinical scales,Worry and Fear,Social Concerns,Worry about social situations,"The student's concerns about peer acceptance, social performance, or being judged or embarrassed by others."
Clinical scales,Worry and Fear,Separation Concerns,Difficulty being away from caregivers,"The student's level of distress or worry when separated from parents, caregivers, or familiar settings."
Clinical scales,Worry and Fear,Physical Signs of Distress,Bodily responses to stress,"Observable physical symptoms that accompany worry or fear, such as stomachaches, headaches, or complaints without medical cause."
Clinical scales,Emotional Control,Frustration Tolerance,Handling setbacks,"The student's ability to cope with challenges, mistakes, setbacks, or situations that don't go as expected without becoming overwhelmed."
Clinical scales,Emotional Control,Anger Management,Regulating anger,"The student's capacity to manage feelings of anger, irritability, or annoyance without losing control or behaving aggressively."
Clinical scales,Emotional Control,Recovery,Bouncing back from upset,"How quickly and effectively the student returns to a calm, regulated state after experiencing strong emotions."
