Source,Category,Subcategory,Brief Description,Description,,,,
Claude Opus 4.5,Attention,Task Focus,Ability to stay engaged with activities,The degree to which a student can concentrate on and persist with assigned tasks or activities without becoming distracted or disengaged.,,,,
Claude Opus 4.5,Attention,Listening,Attentiveness during instruction,The extent to which a student attends to verbal information from teachers or peers during lessons and conversations.,,,,
Claude Opus 4.5,Attention,Following Directions,Ability to process and act on instructions,The degree to which a student comprehends and carries out multi-step instructions or requests in a timely manner.,,,,
Claude Opus 4.5,Behavior,Rule-Following,Adherence to classroom and school expectations,The extent to which a student complies with established classroom rules,school policies,and adult expectations.,,
Claude Opus 4.5,Behavior,Impulse Control,Ability to think before acting,The degree to which a student can pause,consider consequences,and regulate impulsive urges before responding in various situations.,,
Claude Opus 4.5,Behavior,Physical Conduct,Appropriateness of physical actions,The extent to which a student's physical behavior toward others and property is safe,respectful,and situationally appropriate.,,
Claude Opus 4.5,Behavior,Verbal Conduct,Appropriateness of spoken interactions,The degree to which a student's verbal behavior is respectful,kind,and situationally appropriate in tone and content.,,
Claude Opus 4.5,Emotional Regulation,Managing Strong Feelings,Ability to cope with intense emotions,The extent to which a student can recognize and manage powerful emotions such as anger,frustration,excitement,or fear without becoming overwhelmed.,
Claude Opus 4.5,Emotional Regulation,Recovering from Upset,Speed and ease of calming down,The degree to which a student can return to a calm emotional state after experiencing distress,disappointment,or conflict.,,
Claude Opus 4.5,Emotional Regulation,Expressing Emotions,Appropriate communication of feelings,The extent to which a student can identify,articulate,and express their emotional experiences in constructive ways.,,
Claude Opus 4.5,Social Relationships,Peer Interactions,Quality of relationships with classmates,The degree to which a student initiates,maintains,and navigates positive relationships with same-age peers.,,
Claude Opus 4.5,Social Relationships,Cooperation,Working effectively with others,The extent to which a student can collaborate,share,take turns,and contribute productively in group settings.,
Claude Opus 4.5,Social Relationships,Conflict Resolution,Handling disagreements constructively,The degree to which a student can navigate interpersonal conflicts,negotiate differences,and reach acceptable solutions with others.,,
Claude Opus 4.5,Social Relationships,Empathy,Awareness of and responsiveness to others' feelings,The extent to which a student recognizes,understands,and responds sensitively to the emotional experiences of peers and adults.,,
Claude Opus 4.5,Mood,General Happiness,Overall positive emotional tone,The degree to which a student typically displays contentment,enjoyment,and positive affect in daily school activities.,,
Claude Opus 4.5,Mood,Worry and Nervousness,Presence of anxious feelings,The extent to which a student appears tense,fearful,or preoccupied with concerns about performance,social situations,or future events.
Claude Opus 4.5,Mood,Sadness,Presence of low or depressed mood,The degree to which a student displays low spirits,tearfulness,loss of interest,or withdrawal that suggests unhappiness.,
Claude Opus 4.5,Mood,Irritability,Tendency toward frustration or annoyance,The extent to which a student is easily bothered,quick to become frustrated,or prone to negative reactions to minor provocations.,,
Claude Opus 4.5,Self-Perception,Self-Confidence,Belief in one's own abilities,The degree to which a student approaches tasks and challenges with assurance in their capacity to succeed.,,,,
Claude Opus 4.5,Self-Perception,Self-Worth,Overall sense of personal value,The extent to which a student appears to view themselves as likable,capable,and deserving of positive regard from others.,,
Claude Opus 4.5,Self-Perception,Sense of Belonging,Feeling connected to school community,The degree to which a student feels accepted,valued,and included within their classroom and broader school environment.,,
Claude Opus 4.5,Communication,Verbal Expression,Clarity in conveying thoughts and needs,The extent to which a student can articulate ideas,opinions,and needs clearly and effectively in spoken language.,,
Claude Opus 4.5,Communication,Receptive Listening,Understanding others' communications,The degree to which a student accurately comprehends and processes verbal information and social cues from others.,,,,
Claude Opus 4.5,Communication,Seeking Help,Willingness to ask for assistance,The extent to which a student recognizes when help is needed and appropriately requests support from teachers or peers.,,,,
Claude Opus 4.5,Academic Engagement,Effort and Persistence,Willingness to work hard and keep trying,The degree to which a student invests energy in learning tasks and continues working through challenges or setbacks.,,,,
Claude Opus 4.5,Academic Engagement,Participation,Active involvement in learning activities,The extent to which a student voluntarily contributes to discussions,asks questions,and engages with classroom activities.,,
Claude Opus 4.5,Academic Engagement,Curiosity,Interest in learning and discovery,The degree to which a student demonstrates genuine interest,asks questions,and pursues understanding beyond basic requirements.,,
Claude Opus 4.5,Academic Engagement,Work Completion,Following through on assignments,The extent to which a student finishes assigned work accurately and submits it in a timely manner.,,,,
Claude Opus 4.5,Adaptability,Handling Transitions,Adjusting to changes in activities or routines,The degree to which a student can shift smoothly between tasks,settings,or activities without significant difficulty.,,
Claude Opus 4.5,Adaptability,Flexibility,Accepting unexpected changes,The extent to which a student can adjust plans,expectations,or approaches when circumstances change unexpectedly.,,
Claude Opus 4.5,Adaptability,Trying New Things,Openness to unfamiliar experiences,The degree to which a student is willing to attempt new activities,approaches,or social situations without excessive resistance or anxiety.,,
