irrelevant,misattributed FACETS,coarse FACETS item,granular FACETS item,not in FACETS,Subcategory,Max FACETS similarity,Source,Max non-FACETS similarity,Max FACETS similarity value,Max non-FACETS similarity value,Category,Brief Description,Description
,,,,,Empathy,Empathy,FACETS,empathy,1,0.93,Interacting with Others,having sensitivity to the feelings and needs of others,Empathy is the ability to understand the emotions and emotional state of another person (and some animals.)
,,,,,Self-Confidence,Self-Confidence,Claude Opus 4.5,Self-Confidence,0.963,0.968,Self-Perception,Belief in one's own abilities,The degree to which a student approaches tasks and challenges with assurance in their capacity to succeed.
,,,,,Academic Motivation,Academic Motivation,Claude Opus 4.5,Motivation,0.957,0.815,Motivation and Engagement,Drive to learn and achieve,"The student's apparent internal desire to engage with academic content, complete schoolwork, and pursue educational goals."
,,,,,empathy,Empathy,Frameworks,Empathy,0.93,0.899,Preparing Youth to Thrive,"Relating to others with acceptance, understanding, and sensitivity to their diverse perspectives and experiences.",
,,,,,stress management,Stress Management,Frameworks,stress management,0.921,0.833,Building Blocks for Learning,Constantly changing cognitive and behavioral efforts to manage specific external and/or internal demands that are appraised as taxing or exceeding the resources of the person.,
,,,,,Self-Confidence,Self-Confidence,Claude Opus 4.5,Self-Confidence,0.916,0.98,Self-Perception,Belief in own abilities,"The student's expressed or demonstrated belief that they can successfully accomplish tasks, learn new material, and meet challenges."
,,,,,Self-Confidence,Self-Confidence,Claude Opus 4.5,Self-Confidence,0.905,0.98,Self-Concept,Belief in one's own abilities,"The student's general sense that they are capable and competent, including willingness to attempt challenging tasks and comfort expressing ideas."
,,,,,self-confidence,Self-Confidence,Frameworks,Self-Confidence,0.903,0.919,ACT Holistic Framework,A tendency to be self-assured and to make decisions without needing a lot of input from others,
,,,,,Empathy,Empathy,Claude Opus 4.5,empathy,0.902,0.899,Social Relationships,Awareness of and responsiveness to others' feelings,The extent to which a student recognizes
,,,,,Anger Management,Anger Management,Clinical scales,Anger Management,0.886,0.962,Emotional Control,Regulating anger,"The student's capacity to manage feelings of anger, irritability, or annoyance without losing control or behaving aggressively."
,,,,,Social Engagement,Social Engagement,Clinical scales,Class Participation,0.885,0.718,Social Relationships,Participating with others,"The student's interest in and initiation of social interactions, group activities, and cooperative play or work."
,,,,,perseverance,Perseverance,Frameworks,perseverance,0.881,0.654,IRC Social and Emotional Learning Competencies,The set of skills that allows us to push through challenges and continue to work towards a realistic goal.,
,,,,,Anger Management,Anger Management,Clinical scales,Anger Management,0.879,0.962,Emotional Regulation,Controlling and expressing anger appropriately,"The student's ability to experience anger without losing control, and to express upset in ways that don't harm self or others"
,,,,,empathy,Empathy,Frameworks,Empathy,0.869,0.893,Kenya TVET Values and Life Skills (VaLI) Framework,Students are able to understand and share in the feelings of another. It is the ability to comprehend another’s feeling without being judgmental. A skill that helps pursue positive relationship and is vital in conflict management and conflict resolution.,
,,,,,creativity,Creativity,Frameworks,creativity,0.869,0.935,UNICEF India Comprehensive Life Skills Framework,"Ability to generate, articulate and/apply inventive & original ideas, techniques and perspectives",
,,,,,attachment,Attachment,Frameworks,belonging,0.868,0.614,Building Blocks for Learning,A deep and enduring emotional bond that connects one person to another across time and space.,
,,,,,self-control,Self-Control,Frameworks,self-control,0.868,0.942,Character Lab,Self-control is controlling one's own responses so they align with short- and long-term goals.,
,,1,,,confidence,Self-Confidence,Frameworks,confidence,0.867,0.863,The Five Cs Model of Positive Youth Development,An internal sense of overall positive self-worth and self-efficacy,
,,,,,self-control,Self-Control,Frameworks,self-control,0.855,0.942,KIPP,The capacity to regulate one's own responses so they align with short and long-term goals,
,,,,,Irritability,Irritability,Claude Opus 4.5,Frustration Tolerance,0.853,0.582,Mood,Tendency toward frustration or annoyance,The extent to which a student is easily bothered
,,,,,empathy,Empathy,Frameworks,empathy,0.845,0.854,UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework,"Empathy, or being empathetic, is “the ability to comprehend another’s feelings and to re-experience them oneself” (Salovey and Mayer, 1990), while never being judgemental. A key construct in social and developmental psychology as well as in cognitive and social neuroscience, the ability to empathize is important for promoting positive behaviours toward others, and facilitating social interactions and relationships. Empathy is involved in the internalization of rules that can play a part in protecting others, and, it may be the mechanism that motivates the desire to help others, even at a cost to oneself. In addition, empathy plays an important role in becoming a socially competent person with meaningful social relationships (McDonald and Messinger, 2012). Consequently, empathy motivates altruistic behaviour and has the potential to enhance the process by which rights are realized, which is as important as an outcome (Jönsson and Hall, 2003).",
,,,,,creativity,Creativity,Frameworks,creativity,0.844,0.915,OECD,"Generating novel ways to do or think about things through exploring, learning from failure, insight and vision.",
,,,,,Activity Level,Activity Level,Claude Opus 4.5,Physical Activity,0.843,0.763,Energy and Alertness,Amount of physical movement and energy,"The overall level of physical activity the student displays, and whether this level is appropriate for the setting and situation."
,,,,,Task Completion,Task Completion,Clinical scales,Task Completion,0.843,0.981,Attention and Focus,Following through on tasks,"The student's ability to complete assignments, activities, and multi-step instructions from start to finish."
,,,,,Task Completion,Task Completion,Clinical scales,Task Completion,0.835,0.981,Attention and Focus,Following through on assignments and activities,"The student's tendency to finish what they start, persist through challenges, and complete work without excessive prompting"
,,,,,stress management,Stress Management,Frameworks,stress management,0.835,0.833,Kenya TVET Values and Life Skills (VaLI) Framework,Students are able to control their level of stress for everyday functioning. Students increase their ability to deal constructively with stressful life events. It increases one’s competence and awareness to cope successfully with a wider range of environmental and social demands.,
,,,,,assertiveness,Assertiveness,Frameworks,assertiveness,0.832,0.898,Clover Model,"Assertiveness is about having agency and self-efficacy, the ability to negotiate one’s self in relation to others, and make decisions. All humans feel the need to affect the world around them. Assertiveness reminds us that young people need opportunities to develop their voices, make decisions for themselves, and master internal order and executive function.",
,,,1,,emotion regulation,Emotion Regulation/Reactivity,Frameworks,emotion management,0.832,0.74,IRC Social and Emotional Learning Competencies,The set of skills that allows us to understand our own emotions and manage our feelings in a positive manner.,
,,,,,tolerance,Tolerance,Frameworks,cooperation,0.829,0.666,OECD,"Is open to different points of view, values diversity, is appreciative of foreign people and cultures.",
,,1,,,confidence,Self-Confidence,Frameworks,confidence,0.829,0.863,The PRACTICE Model,"Confidence includes beliefs and feelings about one’s abilities generally and in specific contexts. These beliefs have been referred to as self-efficacy or efficacy beliefs. Confidence also includes a realistic self-concept and positive feelings towards the self, often labeled self-esteem or self- confidence. In adolescence, it is an important component of identity development based on a positive sense of self and one’s direction and future in the world. Self-relevant constructs have been linked to low levels of Neuroticism.",
,,,,,self-regulation,Self-Control,Frameworks,self-regulation,0.825,0.883,MELQO MODEL Framework,"Self-regulation refers to the ability to control emotions and social behaviour in the interest of engagement and participation in both social interactions and independent work. It encompasses the regulation of one’s own emotions both in social contexts and non-social contexts (such as delayed gratification). This construct is also strongly related to executive function, specifically inhibitory control (Liew, 2012).",
,,,,,Task Completion,Task Completion,Claude Opus 4.5,Task Completion,0.822,0.981,Attention and Focus,Following through on assignments,"The student's ability to complete assigned work within expected timeframes, including returning to tasks after interruptions."
