Source,Subcategory,Category,Brief Description,Description
FACETS,Abstract Thinking,Learning with Reasoning and Abstraction,understanding and applying abstract concepts such as analogies and metaphors,"Abstraction is the ability to think flexibly about ideas rather than just concrete circumstances, including words and events. The ability to engage in abstract thinking is essential to many forms of human expression, including mathematics, science, literature, play, humor etc. Abstract thinking includes skills such as the ability to think about numbers without having something to count, and to play “make-believe” or to tell an imaginary story (e.g., fairy tales). Without abstract thinking, it is difficult to expand thoughts and ideas beyond the concrete objects, limiting creative problem-solving."
FACETS,Academic Motivation,Academic Skills and School Functioning,applying skills and abilities to achieve academic goals,"Academic motivation is an individual’s general commitment to scholarly/learning activities. It includes not only the determination to acquire knowledge and skills in school, but also the development of the tools necessary to successfully perform in the academic context. While often reduced to “grades,” this method fails to capture the commitment necessary to establish and maintain appropriate subject level knowledge and skills (e.g., mathematics, science, language, history, etc.), as well as the willingness to flexibly and adaptively use general and specific resources (e.g., mentors, libraries, collaboration, etc.) needed to succeed."
Clinical scales,Academic Performance,Academic Engagement,Quality and consistency of schoolwork,"Observable patterns in the student's work quality, including effort, accuracy, and meeting academic expectations"
FACETS,Activity Level,Behavior Control and Regulation,maintaining physical and cognitive activity,"For successful adaptation, it is critical that individuals apply activity levels consistent with the tasks and the environment. Activity consists of all manner of functions, including gross and fine motor activity as well as cognition, emotions, and other aspects of biological and social functioning."
Attachment,Adult Relationships,Social Functioning,Interactions with teachers and staff,"How the student relates to and interacts with teachers, administrators, and other school personnel, including trust, respect, and comfort."
Frameworks,agency,Young Adult Success,"The ability to make choices about and take an active role in one's life path, rather than solely being the product of one's circumstances. Agency requires the intentionality and forethought to derive a course of action and adjust course as needed to reflect one's identity, competencies, knowledge and skills, mindsets, and values.",
Claude Opus 4.5,Alertness,Energy and Alertness,Appearing awake and mentally present,The extent to which a student appears rested
FACETS,Anger Management,Emotional Expression,managing responses when provoked,"Anger is a typical experience that reflects the strong expression of annoyance, frustration, or displeasure. While anger is a typical emotion, reactions can vary from well-regulated and appropriate, to poorly modulated, disruptive, and even violent."
FACETS,Assertiveness,Behavior Control and Regulation,initiating actions to support interests goals and desires,"Aggression is the full spectrum of assertive behaviors, with assertiveness representing the forceful interaction with the environment to obtain needs or goals. Assertiveness includes a broad range of behaviors that vary widely based on individual differences, culture, and context. These contexts may include school, work, athletics and other competitive activities, and in some cases, it can lead to forms of violence, associated with personal protection, criminal activity, and war. A key to successful adaptation is the flexible and appropriate application of assertiveness in the course of work and play."
FACETS,Attachment,Interacting with Others,having attachments to family peers and adults,"Attachment is the strong, bilateral, emotional connection between humans (and other animals). Initially, this connection is with the individual’s primary caregivers, but it rapidly expands to include others important to the life of the individual. In humans, attachments usually begin in the first days of life, becoming more socially, emotionally, and behaviorally complex over time."
FACETS,Attention/Concentration,Organization & Planning,sustaining attention and concentration,"Attention is the ability to focus interests, cognition, emotions and/or other resources on a particular object, goal, idea, effort, activity, etc. Attention and concentration are cognitive processes that allow for the selection and focus on a particular task or object (including goals, ideas, etc.) for some period of time. It is usually easier to pay attention when there is strong interest, feeling or commitment to a particular topic or goal. Concentration and attention can vary by environment and other concomitant obligations. Most children and adults can maintain concentration on an important topic for 30-40 minutes. Attention and concentration often require active avoidance of distraction. Failure to maintain attention often leads to mistakes and interruptions in important tasks."
Frameworks,belonging,Clover Model,"Belonging is about building strong relationships with peers and adults, group acceptance and group identity. The need for belonging is central to our early development in our attachment to our caregivers and continues throughout our lives in a variety of ways. Humans are social creatures, and group belonging is essential for well-being and survival.",
