Items,Sources,Brief Descriptions,Descriptions
"Abstract Thinking, symbolic representation","FACETS (Learning with Reasoning and Abstraction), Frameworks (K-3 SEL Standards (Connecticut))",understanding and applying abstract concepts such as analogies and metaphors///Full set of indicators in framework.,"Abstraction is the ability to think flexibly about ideas rather than just concrete circumstances, including words and events. The ability to engage in abstract thinking is essential to many forms of human expression, including mathematics, science, literature, play, humor etc. Abstract thinking includes skills such as the ability to think about numbers without having something to count, and to play “make-believe” or to tell an imaginary story (e.g., fairy tales). Without abstract thinking, it is difficult to expand thoughts and ideas beyond the concrete objects, limiting creative problem-solving.///"
"Academic Motivation (2), Motivation & Effort, Motivation, Motivation and Effort, achievement motivation, demonstrates a willingness to learn","FACETS (Academic Skills and School Functioning), Claude Opus 4.5 (Motivation and Engagement), Clinical scales (Academic Engagement), Clinical scales (Academic Engagement), Clinical scales (Academic Engagement), Frameworks (The PRACTICE Model), Frameworks (Employability Skills)","applying skills and abilities to achieve academic goals///Drive to learn and achieve///Drive to do well in school///Drive to learn///Interest and investment in learning///Achievement Motivation includes an orientation towards success, mastery, and sense of purpose. It has been associated with the capacity and drive to pursue difficult tasks, to work toward desired goals, and a high degree of independence. Individuals who are high in achievement motivation will demonstrate both a desire to learn and a focus on mastery as well as (or even more than) performance goals. They view learning skills and intelligence as an effortful, incremental process that can be improved rather than an inherited trait that is relatively stable over time. In terms of personality traits, it is most closely aligned with Conscientiousness and Openness to Experience as well as the construct of Grit.///Student is cooperative and noticeably engaged.","Academic motivation is an individual’s general commitment to scholarly/learning activities. It includes not only the determination to acquire knowledge and skills in school, but also the development of the tools necessary to successfully perform in the academic context. While often reduced to “grades,” this method fails to capture the commitment necessary to establish and maintain appropriate subject level knowledge and skills (e.g., mathematics, science, language, history, etc.), as well as the willingness to flexibly and adaptively use general and specific resources (e.g., mentors, libraries, collaboration, etc.) needed to succeed.///The student's apparent internal desire to engage with academic content, complete schoolwork, and pursue educational goals.///A student's willingness to try their best, persist with challenging work, and put forth genuine effort on academic tasks///The student's internal motivation, effort, and persistence when engaging with academic material and learning challenges.///The student's drive to learn, willingness to put forth effort, and intrinsic interest in academic activities//////"
Academic Performance,Clinical scales (Academic Engagement),Quality and consistency of schoolwork,"Observable patterns in the student's work quality, including effort, accuracy, and meeting academic expectations"
"Activity Level (2), Physical Activity, active engagement, Energy Regulation, Physical Energy","FACETS (Behavior Control and Regulation), Claude Opus 4.5 (Energy and Alertness), Clinical scales (Activity Level), Frameworks (Clover Model), Clinical scales (Activity Level), Claude Opus 4.5 (Energy and Alertness)","maintaining physical and cognitive activity///Amount of physical movement and energy///Body movement and energy///Active Engagement is about physically connect- ing to the world. Everyone (regardless of physical ability) exists in their body—physical existence is the foundation of mental and emotional existence. The body is a significant factor in psychosomatic, eating, and stress disorders.///Managing energy and activity levels///Observable activity and vitality levels","For successful adaptation, it is critical that individuals apply activity levels consistent with the tasks and the environment. Activity consists of all manner of functions, including gross and fine motor activity as well as cognition, emotions, and other aspects of biological and social functioning.///The overall level of physical activity the student displays, and whether this level is appropriate for the setting and situation.///The student's typical level of physical movement, restlessness, and need for motion during activities that require sitting or stillness.//////A student's ability to modulate their energy level appropriately for different settings—settling down when needed and maintaining sufficient energy for tasks///The degree to which a student displays age-appropriate energy and physical engagement throughout the school day."
"Adult Relationships (2), Connection with Teachers and Staff, child engages in prosocial and cooperative behavior with adults, Adult Interactions, child engages in and maintains positive relationships and interactions with adults","Attachment (Social Functioning), Claude Opus 4.5 (Social Functioning), GPT 5.2 Thinking (School Belonging and Connectedness), Frameworks (Head Start), Claude Opus 4.5 (Social Functioning), Frameworks (Head Start)",Interactions with teachers and staff///Interactions with teachers and staff///forming trusting relationships with supportive adults at school///Child engages in prosocial and cooperative behavior with adults///Quality of relationships with teachers and staff///Child engages in and maintains positive relationships and interactions with adults,"How the student relates to and interacts with teachers, administrators, and other school personnel, including trust, respect, and comfort.///How the student relates to and interacts with teachers, administrators, and other school personnel, including trust, respect, and comfort.///Connection with teachers and staff reflects how comfortable a student feels approaching adults at school for guidance, support, or encouragement. Strong connections can increase help-seeking and reduce stress. Difficulty may show as avoiding adults, reluctance to communicate concerns, or assuming adults are not safe or helpful, even when support is available.//////How the student relates to authority figures and adult school personnel, including showing appropriate respect, seeking help when needed, and responding to guidance.///"
"agency, Sense of Agency","Frameworks (Young Adult Success), GPT 5.2 Thinking (Sense of Self)","The ability to make choices about and take an active role in one's life path, rather than solely being the product of one's circumstances. Agency requires the intentionality and forethought to derive a course of action and adjust course as needed to reflect one's identity, competencies, knowledge and skills, mindsets, and values.///feeling able to influence outcomes through choices and effort","///Sense of agency reflects a student’s belief that their actions matter and that they can make choices that affect outcomes. Students with strong agency are more likely to set goals, try strategies, and take responsibility for next steps. Low agency may appear as helplessness, passivity, or statements that nothing they do will change results."
Alertness,Claude Opus 4.5 (Energy and Alertness),Appearing awake and mentally present,The extent to which a student appears rested
"Anger Management (2), emotional control","FACETS (Emotional Expression), Clinical scales (Emotional Control), Frameworks (OECD)","managing responses when provoked///Regulating anger///Effective strategies for regulating temper, anger, and irritation in the face of frustrations.","Anger is a typical experience that reflects the strong expression of annoyance, frustration, or displeasure. While anger is a typical emotion, reactions can vary from well-regulated and appropriate, to poorly modulated, disruptive, and even violent.///The student's capacity to manage feelings of anger, irritability, or annoyance without losing control or behaving aggressively.///"
Assertiveness (2),"FACETS (Behavior Control and Regulation), Frameworks (Clover Model)","initiating actions to support interests goals and desires///Assertiveness is about having agency and self-efficacy, the ability to negotiate one’s self in relation to others, and make decisions. All humans feel the need to affect the world around them. Assertiveness reminds us that young people need opportunities to develop their voices, make decisions for themselves, and master internal order and executive function.","Aggression is the full spectrum of assertive behaviors, with assertiveness representing the forceful interaction with the environment to obtain needs or goals. Assertiveness includes a broad range of behaviors that vary widely based on individual differences, culture, and context. These contexts may include school, work, athletics and other competitive activities, and in some cases, it can lead to forms of violence, associated with personal protection, criminal activity, and war. A key to successful adaptation is the flexible and appropriate application of assertiveness in the course of work and play.///"
"Attachment (2), Separation Concerns","FACETS (Interacting with Others), Frameworks (Building Blocks for Learning), Clinical scales (Worry and Fear)",having attachments to family peers and adults///A deep and enduring emotional bond that connects one person to another across time and space.///Difficulty being away from caregivers,"Attachment is the strong, bilateral, emotional connection between humans (and other animals). Initially, this connection is with the individual’s primary caregivers, but it rapidly expands to include others important to the life of the individual. In humans, attachments usually begin in the first days of life, becoming more socially, emotionally, and behaviorally complex over time.//////The student's level of distress or worry when separated from parents, caregivers, or familiar settings."
