Source,Category,Subcategory,Brief Description,Description
FACETS,Academic Skills and School Functioning,Academic Motivation,applying skills and abilities to achieve academic goals,"Academic motivation is an individual’s general commitment to scholarly/learning activities. It includes not only the determination to acquire knowledge and skills in school, but also the development of the tools necessary to successfully perform in the academic context. While often reduced to “grades,” this method fails to capture the commitment necessary to establish and maintain appropriate subject level knowledge and skills (e.g., mathematics, science, language, history, etc.), as well as the willingness to flexibly and adaptively use general and specific resources (e.g., mentors, libraries, collaboration, etc.) needed to succeed."
FACETS,Academic Skills and School Functioning,Mathematics,cognitively and mechanically performing arithmetic operations,"Math, or arithmetic, is the ability to manage numerical and/or quantitative ideas, both conceptually and in graphical representations. Mathematical skills evolve over time, beginning using numbers for the concrete counting of objects, evolving into the appreciation that numbers can representing various constructs such as quantity, time, space, etc. Success with math can be confounded by writing difficulty as “imprecise” presentation of numbers leads to errors."
FACETS,Academic Skills and School Functioning,Reading,cognitive and mechanical elements of reading comprehension,"Reading is the ability to decode written symbols for purposes of communication and learning. While reading most commonly focuses on symbols referred to as “letters” or “characters” from alphabets, in fact, decoding any symbols is a form of reading, including symbols such as logos, flags, and other devices. Reading most languages requires understanding of components of writing include grammar, syntax, punctuation, sentences, paragraphs etc."
FACETS,Academic Skills and School Functioning,Writing,cognitive and mechanical elements of written expression,"Writing is the graphical representation of ideas that consists of two separate and distinct actions. The first is the cognitive process of changing an idea into the symbols (letters, characters, or other) in preparation for writing. The second is the motor process of producing the “written” symbols that present an idea in whatever medium is chosen (paper, computer screen, etc.), in a fashion that is potentially comprehensible by others. While letters and complex symbols form the basis of developmentally sophisticated writing, the simple graphic productions (e.g., scribbles) of young children and others with limited skills, can be very effective communication tools."
FACETS,Behavior Control and Regulation,Activity Level,maintaining physical and cognitive activity,"For successful adaptation, it is critical that individuals apply activity levels consistent with the tasks and the environment. Activity consists of all manner of functions, including gross and fine motor activity as well as cognition, emotions, and other aspects of biological and social functioning."
FACETS,Behavior Control and Regulation,Assertiveness,initiating actions to support interests goals and desires,"Aggression is the full spectrum of assertive behaviors, with assertiveness representing the forceful interaction with the environment to obtain needs or goals. Assertiveness includes a broad range of behaviors that vary widely based on individual differences, culture, and context. These contexts may include school, work, athletics and other competitive activities, and in some cases, it can lead to forms of violence, associated with personal protection, criminal activity, and war. A key to successful adaptation is the flexible and appropriate application of assertiveness in the course of work and play."
FACETS,Behavior Control and Regulation,Compliance,following rules and instructions adaptively,"Compliance is adherence to rules or directions, consistent with the setting or environment (e.g., school, work, home, etc.) in order to achieve goals and objectives."
FACETS,Behavior Control and Regulation,Habits/Routines,managing recurring habits,"Habits are well-practiced routines that are essential for managing daily function by creating efficiency and effectiveness processes for managing recurring tasks and addressing familiar problems. Habits are automatic behaviors, but, when necessary for successful adaptation, can be modified to accommodate changing circumstances."
FACETS,Behavior Control and Regulation,Morning Routine,being ready when arriving at school,"Most people have a set of behaviors or actions for the beginning of each day that generally follow in a usual order and are designed to complete necessary tasks in preparation for the day’s activities. They begin with arising with sufficient time to avoid being late for the start of school, work or other daytime obligations; routines may include activities such as toileting, hygiene, dressing appropriately, eating, gathering one’s necessary belongings, and departing in a timely fashion so as to arrive at the first appointment of the day. Typically these routines are well-established so that they occur relatively automatically, obviating the need for detailed thinking about each task. In some cases, the individual does some preparation the evening before, in order to assure prompt completion of morning routines."
FACETS,Behavior Control and Regulation,Physically Harms Self,causing injury to self,"Persistent thoughts of self-harm, especially thoughts that lead to actions causing harm, are always problematic, and usually require urgent attention. Self-harm may or may not have suicidal intent, although the risk for suicidal behavior is increased in the presence of self-harm. In moments of despair or incredible anger, typical individuals may rarely have thoughts of self-harm. However, these thoughts are readily recognized as inappropriate and quickly managed without any action directed toward self-harm."
FACETS,Behavior Control and Regulation,Physically or Emotionally Harms Others,causing physical or emotional harm to other persons,"Persistent thoughts of harm to others, especially those that lead to actions that cause harm are always problematic, and usually require urgent attention. Harm to others may also include emotional harm. Ideas about harming others usually has no homicidal intent, however, these wishes to cause physical or emotional harm to others may lead to serious consequences. As a result, in the presence of these thoughts, careful evaluations are necessary, and targets of the harmful thoughts (e.g., animals, children, other adults) should be protected until the potential threat has passed."
FACETS,Behavior Control and Regulation,Risk Taking,taking chances to achieve goals when faced with possible failure embarrassment or harm,"Risk taking is the ability to overcome the possibility of failure, embarrassment, or harm in order to achieve a specific goal or to acquire a particular want or need. Appropriate risk taking requires a sensible analysis of the balance between outcomes and the possible consequences of a particular action."
