index,index_assessments,paper_instructions_preamble,digital_instructions_preamble,paper_instructions,digital_instructions,question,response_options,indices_response_type,index_scale: REMAP,index_neutral,index_min_extreme_oo_unclear_na_none,index_max_extreme_oo_unclear_na_none,index_dontknow_na,num_options
1,129,"We are trying to find out about your level of physical activity from the last 7 days (in the last
week). This includes sports or dance that make you sweat or make your legs feel tired, or games
that make you breathe hard, like tag, skipping, running, climbing, and others.
Remember:
1. There are no right and wrong answers — this is not a test.
2. Please answer all the questions as honestly and accurately as you can — this is very
important. ","We are trying to find out about your level of physical activity from the last 7 days (in the last
week). This includes sports or dance that make you sweat or make your legs feel tired, or games
that make you breathe hard, like tag, skipping, running, climbing, and others.
Remember:
1. There are no right and wrong answers — this is not a test.
2. Please answer all the questions as honestly and accurately as you can — this is very
important. ","Physical activity in your spare time. Have you done any of the following activities in the past 7 days (last week)? If yes, how many times? (Mark only one circle per row)","Physical activity in your spare time. Have you done any of the following activities in the past 7 days (last week)? If yes, how many times? (Select only one of the options.)",Skipping,"1=""No"", 2=""1-2"", 3=""3-4"", 4=""5-6"", 5=""7 times or more""",1,1,1,oo,oo,,5
2,129,"We are trying to find out about your level of physical activity from the last 7 days (in the last
week). This includes sports or dance that make you sweat or make your legs feel tired, or games
that make you breathe hard, like tag, skipping, running, climbing, and others.
Remember:
1. There are no right and wrong answers — this is not a test.
2. Please answer all the questions as honestly and accurately as you can — this is very
important. ","We are trying to find out about your level of physical activity from the last 7 days (in the last
week). This includes sports or dance that make you sweat or make your legs feel tired, or games
that make you breathe hard, like tag, skipping, running, climbing, and others.
Remember:
1. There are no right and wrong answers — this is not a test.
2. Please answer all the questions as honestly and accurately as you can — this is very
important. ","Physical activity in your spare time. Have you done any of the following activities in the past 7 days (last week)? If yes, how many times? (Mark only one circle per row)","Physical activity in your spare time. Have you done any of the following activities in the past 7 days (last week)? If yes, how many times? (Select only one of the options.)",Rowing/canoeing,"1=""No"", 2=""1-2"", 3=""3-4"", 4=""5-6"", 5=""7 times or more""",1,1,1,oo,oo,,5
3,129,"We are trying to find out about your level of physical activity from the last 7 days (in the last
week). This includes sports or dance that make you sweat or make your legs feel tired, or games
that make you breathe hard, like tag, skipping, running, climbing, and others.
Remember:
1. There are no right and wrong answers — this is not a test.
2. Please answer all the questions as honestly and accurately as you can — this is very
important. ","We are trying to find out about your level of physical activity from the last 7 days (in the last
week). This includes sports or dance that make you sweat or make your legs feel tired, or games
that make you breathe hard, like tag, skipping, running, climbing, and others.
Remember:
1. There are no right and wrong answers — this is not a test.
2. Please answer all the questions as honestly and accurately as you can — this is very
important. ","Physical activity in your spare time. Have you done any of the following activities in the past 7 days (last week)? If yes, how many times? (Mark only one circle per row)","Physical activity in your spare time. Have you done any of the following activities in the past 7 days (last week)? If yes, how many times? (Select only one of the options.)",In-line skating,"1=""No"", 2=""1-2"", 3=""3-4"", 4=""5-6"", 5=""7 times or more""",1,1,1,oo,oo,,5
4,129,"We are trying to find out about your level of physical activity from the last 7 days (in the last
week). This includes sports or dance that make you sweat or make your legs feel tired, or games
that make you breathe hard, like tag, skipping, running, climbing, and others.
Remember:
1. There are no right and wrong answers — this is not a test.
2. Please answer all the questions as honestly and accurately as you can — this is very
important. ","We are trying to find out about your level of physical activity from the last 7 days (in the last
week). This includes sports or dance that make you sweat or make your legs feel tired, or games
that make you breathe hard, like tag, skipping, running, climbing, and others.
Remember:
1. There are no right and wrong answers — this is not a test.
2. Please answer all the questions as honestly and accurately as you can — this is very
important. ","Physical activity in your spare time. Have you done any of the following activities in the past 7 days (last week)? If yes, how many times? (Mark only one circle per row)","Physical activity in your spare time. Have you done any of the following activities in the past 7 days (last week)? If yes, how many times? (Select only one of the options.)",Tag,"1=""No"", 2=""1-2"", 3=""3-4"", 4=""5-6"", 5=""7 times or more""",1,1,1,oo,oo,,5
5,129,"We are trying to find out about your level of physical activity from the last 7 days (in the last
week). This includes sports or dance that make you sweat or make your legs feel tired, or games
that make you breathe hard, like tag, skipping, running, climbing, and others.
Remember:
1. There are no right and wrong answers — this is not a test.
2. Please answer all the questions as honestly and accurately as you can — this is very
important. ","We are trying to find out about your level of physical activity from the last 7 days (in the last
week). This includes sports or dance that make you sweat or make your legs feel tired, or games
that make you breathe hard, like tag, skipping, running, climbing, and others.
Remember:
1. There are no right and wrong answers — this is not a test.
2. Please answer all the questions as honestly and accurately as you can — this is very
important. ","Physical activity in your spare time. Have you done any of the following activities in the past 7 days (last week)? If yes, how many times? (Mark only one circle per row)","Physical activity in your spare time. Have you done any of the following activities in the past 7 days (last week)? If yes, how many times? (Select only one of the options.)",Walking for exercise,"1=""No"", 2=""1-2"", 3=""3-4"", 4=""5-6"", 5=""7 times or more""",1,1,1,oo,oo,,5
6,129,"We are trying to find out about your level of physical activity from the last 7 days (in the last
week). This includes sports or dance that make you sweat or make your legs feel tired, or games
that make you breathe hard, like tag, skipping, running, climbing, and others.
Remember:
1. There are no right and wrong answers — this is not a test.
2. Please answer all the questions as honestly and accurately as you can — this is very
important. ","We are trying to find out about your level of physical activity from the last 7 days (in the last
week). This includes sports or dance that make you sweat or make your legs feel tired, or games
that make you breathe hard, like tag, skipping, running, climbing, and others.
Remember:
1. There are no right and wrong answers — this is not a test.
2. Please answer all the questions as honestly and accurately as you can — this is very
important. ","Physical activity in your spare time. Have you done any of the following activities in the past 7 days (last week)? If yes, how many times? (Mark only one circle per row)","Physical activity in your spare time. Have you done any of the following activities in the past 7 days (last week)? If yes, how many times? (Select only one of the options.)",Bicycling,"1=""No"", 2=""1-2"", 3=""3-4"", 4=""5-6"", 5=""7 times or more""",1,1,1,oo,oo,,5
7,129,"We are trying to find out about your level of physical activity from the last 7 days (in the last
week). This includes sports or dance that make you sweat or make your legs feel tired, or games
that make you breathe hard, like tag, skipping, running, climbing, and others.
Remember:
1. There are no right and wrong answers — this is not a test.
2. Please answer all the questions as honestly and accurately as you can — this is very
important. ","We are trying to find out about your level of physical activity from the last 7 days (in the last
week). This includes sports or dance that make you sweat or make your legs feel tired, or games
that make you breathe hard, like tag, skipping, running, climbing, and others.
Remember:
1. There are no right and wrong answers — this is not a test.
2. Please answer all the questions as honestly and accurately as you can — this is very
important. ","Physical activity in your spare time. Have you done any of the following activities in the past 7 days (last week)? If yes, how many times? (Mark only one circle per row)","Physical activity in your spare time. Have you done any of the following activities in the past 7 days (last week)? If yes, how many times? (Select only one of the options.)",Jogging or running,"1=""No"", 2=""1-2"", 3=""3-4"", 4=""5-6"", 5=""7 times or more""",1,1,1,oo,oo,,5
8,129,"We are trying to find out about your level of physical activity from the last 7 days (in the last
week). This includes sports or dance that make you sweat or make your legs feel tired, or games
that make you breathe hard, like tag, skipping, running, climbing, and others.
Remember:
1. There are no right and wrong answers — this is not a test.
2. Please answer all the questions as honestly and accurately as you can — this is very
important. ","We are trying to find out about your level of physical activity from the last 7 days (in the last
week). This includes sports or dance that make you sweat or make your legs feel tired, or games
that make you breathe hard, like tag, skipping, running, climbing, and others.
Remember:
1. There are no right and wrong answers — this is not a test.
2. Please answer all the questions as honestly and accurately as you can — this is very
important. ","Physical activity in your spare time. Have you done any of the following activities in the past 7 days (last week)? If yes, how many times? (Mark only one circle per row)","Physical activity in your spare time. Have you done any of the following activities in the past 7 days (last week)? If yes, how many times? (Select only one of the options.)",Aerobics,"1=""No"", 2=""1-2"", 3=""3-4"", 4=""5-6"", 5=""7 times or more""",1,1,1,oo,oo,,5
9,129,"We are trying to find out about your level of physical activity from the last 7 days (in the last
week). This includes sports or dance that make you sweat or make your legs feel tired, or games
that make you breathe hard, like tag, skipping, running, climbing, and others.
Remember:
1. There are no right and wrong answers — this is not a test.
2. Please answer all the questions as honestly and accurately as you can — this is very
important. ","We are trying to find out about your level of physical activity from the last 7 days (in the last
week). This includes sports or dance that make you sweat or make your legs feel tired, or games
that make you breathe hard, like tag, skipping, running, climbing, and others.
Remember:
1. There are no right and wrong answers — this is not a test.
2. Please answer all the questions as honestly and accurately as you can — this is very
important. ","Physical activity in your spare time. Have you done any of the following activities in the past 7 days (last week)? If yes, how many times? (Mark only one circle per row)","Physical activity in your spare time. Have you done any of the following activities in the past 7 days (last week)? If yes, how many times? (Select only one of the options.)",Swimming,"1=""No"", 2=""1-2"", 3=""3-4"", 4=""5-6"", 5=""7 times or more""",1,1,1,oo,oo,,5
10,129,"We are trying to find out about your level of physical activity from the last 7 days (in the last
week). This includes sports or dance that make you sweat or make your legs feel tired, or games
that make you breathe hard, like tag, skipping, running, climbing, and others.
Remember:
1. There are no right and wrong answers — this is not a test.
2. Please answer all the questions as honestly and accurately as you can — this is very
important. ","We are trying to find out about your level of physical activity from the last 7 days (in the last
week). This includes sports or dance that make you sweat or make your legs feel tired, or games
that make you breathe hard, like tag, skipping, running, climbing, and others.
Remember:
1. There are no right and wrong answers — this is not a test.
2. Please answer all the questions as honestly and accurately as you can — this is very
important. ","Physical activity in your spare time. Have you done any of the following activities in the past 7 days (last week)? If yes, how many times? (Mark only one circle per row)","Physical activity in your spare time. Have you done any of the following activities in the past 7 days (last week)? If yes, how many times? (Select only one of the options.)","Baseball, softball","1=""No"", 2=""1-2"", 3=""3-4"", 4=""5-6"", 5=""7 times or more""",1,1,1,oo,oo,,5
