Framework,Term,Definition
21st Century Learning,think creatively,"Use a wide range of idea creation techniques (such as brainstorming); Create new and worthwhile ideas (both incremental and radical concepts); Elaborate, refine, analyze and evaluate their own ideas in order to improve and maximize creative efforts"
21st Century Learning,work creatively with others,"Develop, implement and communicate new ideas to others effectively; Be open and responsive to new and diverse perspectives; incorporate group input and feedback into the work; Demonstrate originality and inventiveness in work and understand the real world limits to adopting new ideas; View failure as an opportunity to learn; understand that creativity and innovation is a long-term, cyclical process of small successes and frequent mistakes"
21st Century Learning,implement innovations,Act on creative ideas to make a tangible and useful contribution to the field in which the innovation will occur
21st Century Learning,reason effectively,"Use various types of reasoning (inductive, deductive, etc.) as appropriate to the situation"
21st Century Learning,use systems thinking,Analyze how parts of a whole interact with each other to produce overall outcomes in complex systems
21st Century Learning,make judgments and decisions,"Effectively analyze and evaluate evidence, arguments, claims and beliefs; Analyze and evaluate major alternative points of view; Synthesize and make connections between information and arguments; Interpret information and draw conclusions based on the best analysis; Reflect critically on learning experiences and processes"
21st Century Learning,solve problems,Solve different kinds of non-familiar problems in both conventional and innovative ways; Identify and ask significant questions that clarify various points of view and lead to better solutions
21st Century Learning,communicate clearly,"Articulate thoughts and ideas effectively using oral, written and nonverbal communication skills in a variety of forms and contexts; Listen effectively to decipher meaning, including knowledge, values, attitudes and intentions; Use communication for a range of purposes (e.g. to inform, instruct, motivate and persuade); Utilize multiple media and technologies, and know how to judge their effectiveness a priori as well as assess their impact; Communicate effectively in diverse environments (including multi-lingual)"
21st Century Learning,collaborate with others,"Demonstrate ability to work effectively and respectfully with diverse teams; Exercise flexibility and willingness to be helpful in making necessary compromises to accomplish a common goal; Assume shared responsibility for collaborative work, and value the individual contributions made by each team member"
21st Century Learning,access and evaluate information,Access information efficiently (time) and effectively (sources); Evaluate information critically and competently
21st Century Learning,use and manage information,Use information accurately and creatively for the issue or problem at hand; Manage the flow of information from a wide variety of sources; Apply a fundamental understanding of the ethical/legal issues surrounding the access and use of information
21st Century Learning,analyze media,"Understand both how and why media messages are constructed, and for what purposes; Examine how individuals interpret messages differently, how values and points of view are included or excluded, and how media can influence beliefs and behaviors; Apply a fundamental understanding of the ethical/legal issues surrounding the access and use of media"
21st Century Learning,create media products,"Understand and utilize the most appropriate media creation tools, characteristics and conventions; Understand and effectively utilize the most appropriate expressions and interpretations in diverse, multi-cultural environments"
21st Century Learning,apply technology effectively,"Use technology as a tool to research, organize, evaluate and communicate information; Use digital technologies (computers, PDAs, media players, GPS, etc.), communication/networking tools and social networks appropriately to access, manage, integrate, evaluate and create information to successfully function in a knowledge economy; Apply a fundamental understanding of the ethical/legal issues surrounding the access and use of information technologies"
21st Century Learning,adapt to change,"Adapt to varied roles, jobs responsibilities, schedules and contexts; Work effectively in a climate of ambiguity and changing priorities"
21st Century Learning,be flexible,"Incorporate feedback effectively; Deal positively with praise, setbacks and criticism; Understand, negotiate and balance diverse views and beliefs to reach workable solutions, particularly in multi-cultural environments"
