,Managing behavior,Expressive communication,Receptive communication,Seeking help,Asking questions,Following directions,Habits / routines,Perception,Relationships with unfamiliar people,Relationships with peers,Relationships with parents,Relationships with teachers,Social cooperation,Comfort in social situations,Social communication,Social activity,Social awareness,Respect for others,Sexual behavior,Play,Social belonging,Sense of safety,Response to peer pressure,Bullying,Managing conflict,Coping skills,Resourcefulness,Resilience,Managing emotions,Emotional expression,Emotional awareness,Mood,Managing thoughts,Reasoning ability,Decision-making,Problem solving,Learning new things,Learning from feedback and mistakes,Attention,Memory,Planning,Organization,Time management,Setting and striving for goals,Task initiation,Task completion,Thinking speed,Abstract thinking,Creativity and imagination,Knowledge and skills,Reading,Writing,Motivation,Leadership,Willingness to try new things,Openness,Respect for others,Fairness,Politeness,Patience,Helpfulness,Kindness and caring,Integrity and honesty,Responsibility,Work habits,Independence,Initiative,Assertiveness,Perseverance,Future outlook,Activity level,Effort,Self-control,Self-awareness,Self-monitoring,Self-reflection,Self-acceptance,Self-confidence,Self-advocacy,Self-care / hygiene,Eating and diet,Emotional well-being,Sleep and fatigue,Stress management,Substance use,Academic performance,Class participation
Managing behavior,1.0,0.08391608391608392,-0.2618577075098814,-0.07185761957730812,-0.13076923076923078,-0.43333333333333335,0.2606060606060606,0.1660079051383399,-0.02869565217391304,0.1706646294881589,-0.021671826625386997,-0.04797570850202429,0.09304812834224599,0.2666041275797374,-0.10256410256410256,-0.011764705882352941,0.008547008547008546,0.3208695652173913,0.34696356275303647,0.2693548387096774,-0.2352941176470588,0.1694581280788177,-0.14940170940170938,-0.02434782608695652,-0.42,-0.09072580645161292,0.19413919413919414,0.115406162464986,0.0424916573971079,-0.42892156862745107,-0.03199174406604747,0.1023535851122058,0.07429643527204503,-0.22598290598290596,0.033020637898686686,0.16846153846153847,-0.045787545787545784,-0.050769230769230775,0.3382269904009035,-0.054782608695652164,-0.09759358288770054,0.11744840525328332,0.05161290322580646,0.09677419354838708,-0.22167487684729056,-0.15,0.0,0.23636363636363633,0.1523300229182582,0.006060606060606061,-0.18692307692307694,0.25357142857142856,0.0357620320855615,-0.1434782608695652,-0.1434782608695652,0.37913043478260866,0.3235460191981932,-0.059129106187929714,-0.2554621848739496,-0.016711229946524065,-0.1364532019704433,0.06470588235294117,-0.08333333333333334,-0.13846153846153847,0.5834782608695652,0.02075098814229249,-0.1268376068376068,0.06606437041219651,-0.19999999999999998,0.1926655719759168,0.1328671328671329,0.0028232636928289105,-0.38011204481792726,0.0411096256684492,-0.0784457478005865,0.07986651835372637,-0.17333333333333334,0.18475073313782991,-0.2309429700734049,-0.45304437564499483,-0.014782608695652172,-0.18918918918918917,0.2908067542213884,0.35194805194805195,-0.024615384615384615,-0.3922924901185771,0.012807881773399012
Expressive communication,0.08391608391608392,1.0,-0.014285714285714282,-0.6464285714285712,-0.13565217391304346,-0.6666666666666669,0.3,0.08928571428571427,-0.7142857142857143,0.3408695652173913,-0.12967032967032965,-0.4070175438596491,0.13116883116883118,-0.12140033879164315,-0.04195804195804196,0.02097902097902098,-0.3382352941176471,0.8285714285714287,0.04615384615384615,-0.16103896103896104,0.10989010989010989,0.05826086956521739,-0.044466403162055336,0.6837944664031621,0.437391304347826,0.125,0.13391304347826086,0.02,0.10086956521739131,0.18214285714285713,-0.4230769230769231,0.18,0.10521739130434782,0.07368421052631578,-0.2524509803921569,-0.3010989010989011,-0.027826086956521737,-0.04175824175824176,-0.30637254901960786,0.11043478260869564,0.024703557312252968,0.5478260869565217,0.12,-0.0894736842105263,-0.1643478260869565,-0.523809523809524,0.22527472527472525,1.0,-0.3804347826086957,0.06666666666666667,-0.3245614035087719,0.12087912087912088,-0.10521739130434782,-0.7142857142857143,-0.3142857142857143,0.1607142857142857,-0.1519607843137255,-0.37293233082706767,-0.27554179566563464,0.02089215132693394,0.18347826086956517,0.20979020979020982,0.41666666666666663,0.18173913043478263,0.8285714285714287,0.12142857142857141,0.13970588235294118,-0.13823529411764704,-0.28571428571428575,0.2545454545454545,0.09478260869565217,0.02417582417582418,0.06956521739130435,0.4014680971202711,-0.1764705882352941,0.28792569659442724,0.35664335664335667,-0.4323529411764706,0.36428571428571427,0.11304347826086956,-0.028571428571428574,-0.008469791078486732,0.31565217391304345,0.5333333333333333,0.42352941176470593,-0.11758893280632411,-0.18577075098814227
Receptive communication,-0.2618577075098814,-0.014285714285714282,1.0,-0.03508064516129032,-0.05729564553093964,0.021428571428571425,0.1243478260869565,0.4187755102040816,0.3216783216783217,-0.03223834988540871,0.5372549019607844,-0.06962649753347426,-0.2567200241618846,-0.0929386370644465,0.14822134387351776,0.18508064516129033,-0.34194113141481564,0.0979020979020979,-0.07471352177234529,-0.20988142292490114,-0.03968253968253968,0.026638477801268497,0.04878048780487806,0.23846153846153845,-0.1893048128342246,-0.22794117647058826,-0.16489749615104124,-0.014828620046997814,0.04355342136854741,-0.19863247863247863,-0.24236874236874237,-0.10123281175912754,-0.1965464076472402,-0.15522648083623697,-0.28372803666921315,-0.07257448433919021,-0.333231474407945,-0.10256410256410256,0.12510121457489878,0.17815249266862168,0.10429880197322057,-0.13196480938416422,-0.1844532279314888,-0.0613107822410148,0.03359683794466403,0.17857142857142855,-0.1984126984126984,-0.05714285714285713,-0.11817761332099908,0.1652173913043478,-0.0667247386759582,0.016532258064516133,0.08388955582232892,0.20979020979020982,0.2657342657342658,0.25615763546798026,0.1596454754349491,0.2580690627202255,0.24868325095211086,-0.18767345050878817,-0.17463002114164905,-0.1955645161290323,-0.13823529411764704,0.06701239769872783,-0.15384615384615385,0.29911164465786316,0.013205282112845136,-0.1133208255159475,0.3121739130434782,-0.09100370027752082,-0.024999999999999998,0.20791844476055002,0.3141299193930772,0.16869147659063624,-0.21120448179271709,-0.19838056680161942,0.05887096774193549,-0.005923344947735193,0.16392512762336925,0.024957264957264955,0.07692307692307693,0.2889685476410731,-0.005427702996092054,-0.4264705882352942,-0.004228329809725159,0.16294170945333736,-0.2904858299595142
Seeking help,-0.07185761957730812,-0.6464285714285712,-0.03508064516129032,1.0,0.5059901338971107,0.5059288537549407,-0.12087912087912088,0.03427419354838711,0.40086956521739125,0.2773519163763067,0.10317460317460315,0.2104081632653061,-0.2682170542635659,-0.028677150786308978,0.009664753850800362,-0.4116935483870968,0.2889300030835646,-0.3347826086956522,-0.06330532212885154,0.0786771368166717,0.2413101604278075,-0.029252086540798965,0.19651567944250875,-0.07846153846153846,-0.16944232238349885,-0.29049066435084675,-0.48761726078799256,-0.08315546828310424,-0.0804878048780488,0.04846256684491979,0.301219512195122,-0.07754010695187166,0.05507176261893242,0.17854251012145747,-0.029268292682926838,-0.1853846153846154,0.10647773279352227,-0.23717008797653957,-0.043148411569464196,-0.02637050005471058,0.043741765480895915,-0.18442776735459665,-0.2054128514707074,-0.0510204081632653,0.10233580018501388,0.22035573122529645,0.2510026737967915,-0.33739130434782605,-0.11198945981554678,0.367032967032967,0.12715191784959226,0.0020022246941045607,0.0975023126734505,0.4991304347826086,-0.006956521739130434,-0.1398046398046398,0.15630824082327202,0.029852366478506292,0.3765306122448979,-0.2505704594511255,-0.2006968641114983,-0.09584859584859586,-0.056372549019607844,-0.249633431085044,0.13478260869565215,0.03225806451612904,-0.018054491738702265,-0.05926979611190136,-0.06428571428571428,0.03865164897496151,0.2071428571428571,0.1275862068965517,-0.0883275261324042,-0.3229648473635523,0.31092318534179003,-0.20061115355233,-0.3389328063241107,-0.13783323879750425,-0.3015647226173541,0.054838709677419356,0.3347826086956522,0.19782805429864253,-0.05683247570040022,-0.2785714285714285,-0.08963585434173671,-0.043255131964809374,0.2802960222016651
Asking questions,-0.13076923076923078,-0.13565217391304346,-0.05729564553093964,0.5059901338971107,1.0,0.14869565217391303,-0.5269607843137256,-0.09427043544690604,0.4681318681318682,0.22870544090056288,0.26108374384236444,0.1361522198731501,-0.22121492445266727,-0.17150786308973173,0.20766129032258068,-0.295788770053476,0.2881899475794018,-0.3626373626373627,-0.18878299120234604,0.10606060606060606,0.1808155080213904,-0.013469387755102041,0.1431828050369084,0.03759733036707453,0.13927125506072877,-0.07451581135791661,-0.2835432045158489,0.1370135746606335,-0.15912614517265677,0.38365164247517186,0.32582448748075526,-0.07276507276507277,0.11739093315119951,-0.011263268778867191,-0.09771309771309772,-0.09140667761357417,0.1795630725863284,0.12800802139037434,0.15222672064777326,0.07443724946037619,-0.19094659140251843,-0.19554655870445345,-0.0818181818181818,-0.27218215703751725,0.39408369408369415,-0.14260869565217388,0.054144385026737976,-0.07217391304347825,-0.013460703430308293,-0.27941176470588236,0.20856389986824767,-0.18783422459893048,-0.13248868778280543,0.1956043956043956,0.22637362637362637,-0.07044334975369455,-0.0702436016034536,-0.036544850498338874,0.1174871639987919,0.01724489795918367,-0.2595520421607378,-0.24028461959496444,-0.3382352941176471,0.020647773279352227,-0.06813186813186813,-0.08785332314744079,-0.23658536585365858,0.02330670751723383,-0.44852941176470595,-0.061362935553499844,-0.29304347826086957,0.037500000000000006,0.15966228893058165,-0.28497737556561087,0.08131816026552867,0.14234234234234233,-0.28205128205128205,-0.25651967757230915,-0.2482176360225141,0.05923344947735191,0.0989010989010989,0.02104532839962997,-0.05297532656023221,-0.014705882352941176,-0.20459933617828355,-0.18663967611336035,0.5035639412997902
Following directions,-0.43333333333333335,-0.6666666666666669,0.021428571428571425,0.5059288537549407,0.14869565217391303,1.0,0.642857142857143,-0.0964285714285714,0.0,-0.06617647058823531,0.16043956043956045,0.18869565217391301,-0.28721804511278193,-0.30977443609022554,0.14685314685314685,-0.42857142857142855,0.11217391304347826,-0.49999999999999994,0.027472527472527472,0.17217391304347823,0.3362637362637363,0.08120300751879699,0.4547826086956522,-0.3272727272727273,-0.2411764705882353,0.23529411764705882,-0.5403508771929825,-0.0028232636928289105,0.030075187969924807,0.14782608695652172,0.2939130434782608,0.03431372549019608,0.16695652173913042,0.0826086956521739,0.22941176470588234,0.25874125874125875,0.33102766798418976,0.10869565217391304,-0.04656862745098039,-0.33333333333333337,-0.041739130434782605,-0.06764705882352941,-0.3924812030075188,-0.1847265221878225,-0.1269565217391304,0.47478260869565214,0.6703296703296703,0.3571428571428572,-0.2506493506493506,1.0,0.24434782608695652,0.2713043478260869,0.38869565217391305,-0.49999999999999994,0.9999999999999999,-0.005494505494505494,0.32521739130434785,0.18382352941176472,0.3695652173913043,-0.34584980237154156,0.016541353383458645,-0.3054945054945055,-0.21428571428571433,0.07941176470588236,-0.09999999999999999,-0.18214285714285713,-0.21078431372549022,-0.07352941176470588,0.04761904761904763,0.15565217391304348,0.09523809523809526,0.2912087912087912,-0.047058823529411764,-0.1695652173913043,-0.2764705882352941,0.13823529411764704,-0.04895104895104895,-0.1607142857142857,-0.021671826625386997,0.13826086956521738,-0.49999999999999994,0.38869565217391305,0.009565217391304347,-0.28571428571428575,0.2529411764705882,0.0058823529411764705,-0.13217391304347825
Habits / routines,0.2606060606060606,0.3,0.1243478260869565,-0.12087912087912088,-0.5269607843137256,0.642857142857143,1.0,0.19999999999999998,0.9999999999999999,-0.1411764705882353,0.09999999999999999,-0.06466165413533834,0.2930547713156409,-0.3104347826086956,0.10909090909090911,0.3928571428571428,0.1936274509803922,0.9999999999999999,0.21078431372549022,0.3890457368718239,0.2571428571428571,0.24086956521739128,-0.05826086956521739,0.23076923076923078,-0.0823529411764706,0.4593406593406593,-0.18086956521739128,-0.031055900621118016,-0.21043478260869564,0.02727272727272728,0.2087912087912088,0.19548872180451127,0.0608695652173913,0.35454545454545455,0.3214285714285714,0.2434782608695652,0.5647058823529412,0.4125874125874127,-0.2417391304347826,0.021671826625386997,0.12817617165443254,-0.09705882352941177,-0.27391304347826084,-0.03217391304347826,-0.06719367588932806,1.0,0.054945054945054944,0.023809523809523815,-0.4208695652173913,0.46086956521739125,0.40259740259740256,0.7890109890109891,-0.06173913043478261,0.9999999999999999,0.9999999999999999,0.07692307692307693,0.034782608695652174,0.2452173913043478,0.4840041279669762,-0.09683794466403163,0.03909774436090225,-0.1857142857142857,0.642857142857143,-0.12,-0.49999999999999994,0.054782608695652164,0.27999999999999997,0.04210526315789473,0.48333333333333334,0.11739130434782606,0.5333333333333333,0.653250773993808,0.14736842105263157,-0.034782608695652174,-0.0035714285714285704,0.3954887218045112,0.22352941176470587,0.18771929824561404,0.6160990712074303,-0.23076923076923078,0.0,0.27043478260869563,0.11043478260869564,-0.11904761904761905,0.712280701754386,-0.20869565217391303,-0.27347781217750256
Perception,0.1660079051383399,0.08928571428571427,0.4187755102040816,0.03427419354838711,-0.09427043544690604,-0.0964285714285714,0.19999999999999998,1.0,0.11188811188811189,0.05943468296409473,0.3008403361344538,0.023819591261451726,-0.20582905466626397,-0.2864631514030219,-0.1383399209486166,0.03024193548387097,-0.3401903928219718,0.4545454545454546,-0.005958747135217723,-0.1826086956521739,-0.005494505494505494,0.037632135306553904,0.11027874564459932,0.07307692307692308,-0.25255920550038197,-0.4161096256684492,-0.20622315857710075,-0.0749534073413824,0.19039615846338534,-0.20068376068376068,0.03174603174603174,-0.2769084874348032,0.26598828245451744,0.007491289198606273,-0.44568372803666917,0.09977081741787625,-0.22261268143621082,0.057997557997558,0.1354251012145749,-0.06085043988269794,-0.3141649048625793,-0.17705278592375365,-0.20039525691699603,0.14982381959126145,-0.21436100131752303,0.1964285714285714,-0.33516483516483514,-0.1964285714285714,0.07967160037002775,0.18956521739130433,0.05313588850174217,0.07258064516129033,-0.021944777911164462,0.0,0.006993006993006993,0.15325670498084293,0.1406061932377722,0.1434813248766737,-0.022769629689652376,0.12800647548566144,-0.08301620859760393,-0.059677419354838716,-0.2058823529411765,0.08338060124787294,0.2657342657342658,0.3045858343337335,-0.03510204081632653,-0.3397748592870544,0.09913043478260869,0.24930619796484738,0.33928571428571425,-0.08890469416785204,-0.06733048838311995,0.042977190876350546,-0.2949579831932773,-0.08522267206477734,-0.21935483870967742,-0.23989547038327533,0.020824892634308406,-0.09743589743589742,0.49650349650349657,0.4138529139685477,-0.15686061658706035,-0.4803921568627451,-0.2384475989127152,0.33766233766233766,-0.154251012145749
Relationships with unfamiliar people,-0.02869565217391304,-0.7142857142857143,0.3216783216783217,0.40086956521739125,0.4681318681318682,0.0,0.9999999999999999,0.11188811188811189,1.0,0.12956521739130433,0.28484848484848485,0.0626086956521739,-0.06616541353383458,0.1417391304347826,-0.025217391304347827,0.2121212121212121,0.28529411764705886,-0.22869565217391302,0.2626086956521739,0.05147058823529412,0.5,0.06176470588235294,0.22499999999999998,-0.18787878787878787,-0.2797202797202798,0.16695652173913042,-0.049999999999999996,0.0826086956521739,-0.31764705882352945,0.6,0.5,0.1164835164835165,-0.13739130434782607,0.2527472527472528,0.2965217391304348,0.48181818181818187,0.18131868131868134,-0.3727272727272728,-0.12637362637362637,0.14285714285714285,0.37009803921568635,-0.11826086956521738,-0.303921568627451,-0.36173913043478256,0.49754901960784315,0.0,0.27272727272727276,-0.25,-0.09022556390977443,0.8999999999999998,0.1032967032967033,-0.41666666666666663,0.41052631578947374,0.7017391304347826,0.3904347826086956,-0.18787878787878787,-0.04195804195804196,0.3043478260869565,0.49391304347826087,-0.4333333333333333,-0.5735294117647058,0.01818181818181818,0.5428571428571429,-0.21428571428571427,0.021739130434782605,0.4545454545454546,0.2571428571428571,0.23626373626373626,-0.028571428571428574,0.23076923076923075,-0.08571428571428573,0.6853146853146854,0.40695652173913033,-0.07352941176470588,-0.1695652173913043,0.4058823529411764,0.3706293706293707,-0.18869565217391301,0.1758241758241758,-0.09090909090909088,-0.1660869565217391,-0.23652173913043475,-0.308695652173913,0.28571428571428575,0.4241758241758242,-0.21428571428571427,0.3651960784313726
Relationships with peers,0.1706646294881589,0.3408695652173913,-0.03223834988540871,0.2773519163763067,0.22870544090056288,-0.06617647058823531,-0.1411764705882353,0.05943468296409473,0.12956521739130433,1.0,0.33830645161290324,-0.14592969472710454,-0.23504611330698283,0.03739434816016392,-0.026126814362108473,-0.3107448107448107,0.05242914979757085,0.15391304347826085,0.0674089068825911,-0.16354575656901238,-0.043787629994526546,-0.11674375578168363,0.2797909407665506,-0.14809384164222872,0.09148367231180618,-0.08722002635046114,-0.13517786561264822,0.2732860923759925,-0.09881422924901186,-0.1713191023535851,-0.000985221674876847,0.09979757085020242,-0.21868686868686874,0.22672064777327938,0.14935064935064937,-0.2655172413793103,-0.06072874493927126,-0.2395995550611791,-0.20411840411840412,-0.10364372469635627,-0.17011980267794222,0.27836734693877546,0.18408880666049954,0.20645586297760213,-0.07550878815911193,-0.056372549019607844,0.07443897099069512,-0.02450980392156863,-0.3230804810360777,-0.28529411764705886,-0.07125506072874495,0.28384615384615386,0.0854081632653061,0.13478260869565215,0.15739130434782608,-0.15172413793103445,0.24509803921568626,-0.017691951896392232,-0.14264569842738203,-0.10719241443108232,0.28921775898520086,-0.22,-0.049999999999999996,0.07530364372469636,0.3782608695652173,-0.08754774637127577,-0.1876518218623482,0.3142857142857143,-0.1956043956043956,-0.034430685593476285,-0.08695652173913042,-0.1427139037433155,-0.15831932773109242,-0.2421831637372803,0.11908726487819919,-0.1236842105263158,-0.14896214896214896,0.1358618563058896,-0.1680823680823681,-0.032754010695187165,0.2069565217391304,-0.03380858874754546,0.3379357484620643,-0.21362229102167182,-0.1827541827541828,-0.05122265122265123,-0.10305272895467159
