user_id,task,trial_index,subset_index,left_term,left_construct_id,left_canonical,left_is_synonym,right_term,right_construct_id,right_canonical,right_is_synonym,chosen_term,chosen_construct_id,chosen_canonical,chosen_is_synonym,unchosen_term,unchosen_construct_id,unchosen_canonical,unchosen_is_synonym,response_time,correct_word,chosen_word,passed,grade_levels,special_needs,school_type,experience,class_size,country
5df77306c12a36506b5e95f4,demographics,,,,,,,,,,,,,,,,,,,,,,,"middle|high_school","yes","private",">10","<15","Spain"
5df77306c12a36506b5e95f4,forced_choice,0,348,"Family bonds",10,"Relationships with parents",true,"Reaction to group influence",22,"Response to peer pressure",true,"Reaction to group influence",22,"Response to peer pressure",true,"Family bonds",10,"Relationships with parents",true,6019,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,1,348,"Fairness",60,"Fairness",false,"Confidence in groups",13,"Comfort in social situations",true,"Confidence in groups",13,"Comfort in social situations",true,"Fairness",60,"Fairness",false,4790,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,2,348,"Reaction to group influence",22,"Response to peer pressure",true,"Drive or ambition",54,"Motivation",true,"Drive or ambition",54,"Motivation",true,"Reaction to group influence",22,"Response to peer pressure",true,6050,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,3,348,"Habits / routines",6,"Habits / routines",false,"Scholastic achievement",88,"Academic performance",true,"Habits / routines",6,"Habits / routines",false,"Scholastic achievement",88,"Academic performance",true,3612,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,4,348,"Cognitive control",34,"Managing thoughts",true,"Fairness",60,"Fairness",false,"Cognitive control",34,"Managing thoughts",true,"Fairness",60,"Fairness",false,1951,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,5,348,"Self-awareness",76,"Self-awareness",false,"Reaction to group influence",22,"Response to peer pressure",true,"Self-awareness",76,"Self-awareness",false,"Reaction to group influence",22,"Response to peer pressure",true,2707,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,6,348,"Cognitive control",34,"Managing thoughts",true,"Resourcefulness",27,"Resourcefulness",false,"Cognitive control",34,"Managing thoughts",true,"Resourcefulness",27,"Resourcefulness",false,4792,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,7,348,"Creativity and imagination",50,"Creativity and imagination",false,"Sense of duty",66,"Responsibility",true,"Creativity and imagination",50,"Creativity and imagination",false,"Sense of duty",66,"Responsibility",true,2545,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,8,348,"Creativity and imagination",50,"Creativity and imagination",false,"Confidence in groups",13,"Comfort in social situations",true,"Confidence in groups",13,"Comfort in social situations",true,"Creativity and imagination",50,"Creativity and imagination",false,2847,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,9,348,"Proactive",69,"Initiative",true,"Schedule planning",44,"Time management",true,"Proactive",69,"Initiative",true,"Schedule planning",44,"Time management",true,4862,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,10,348,"Concentration",40,"Attention",true,"Situational awareness",7,"Perception",true,"Situational awareness",7,"Perception",true,"Concentration",40,"Attention",true,3341,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,11,348,"Scholastic achievement",88,"Academic performance",true,"Prospective view",72,"Future outlook",true,"Prospective view",72,"Future outlook",true,"Scholastic achievement",88,"Academic performance",true,3764,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,12,348,"Proactive",69,"Initiative",true,"Fairness",60,"Fairness",false,"Proactive",69,"Initiative",true,"Fairness",60,"Fairness",false,2123,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,13,348,"Prospective view",72,"Future outlook",true,"Fairness",60,"Fairness",false,"Prospective view",72,"Future outlook",true,"Fairness",60,"Fairness",false,2205,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,14,348,"Working for outcomes",45,"Setting and striving for goals",true,"Overcoming obstacles",37,"Problem solving",true,"Overcoming obstacles",37,"Problem solving",true,"Working for outcomes",45,"Setting and striving for goals",true,2533,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,15,348,"Proficiencies",51,"Knowledge and skills",true,"Confidence in groups",13,"Comfort in social situations",true,"Confidence in groups",13,"Comfort in social situations",true,"Proficiencies",51,"Knowledge and skills",true,1509,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,16,348,"Habits / routines",6,"Habits / routines",false,"Self-awareness",76,"Self-awareness",false,"Self-awareness",76,"Self-awareness",false,"Habits / routines",6,"Habits / routines",false,2194,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,17,348,"Inbound communication",2,"Receptive communication",true,"Confidence in groups",13,"Comfort in social situations",true,"Confidence in groups",13,"Comfort in social situations",true,"Inbound communication",2,"Receptive communication",true,3351,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,18,348,"Confidence in groups",13,"Comfort in social situations",true,"Self-reliance",68,"Independence",true,"Confidence in groups",13,"Comfort in social situations",true,"Self-reliance",68,"Independence",true,4065,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,19,348,"Cultural sensitivity",59,"Respect for others",true,"Family bonds",10,"Relationships with parents",true,"Family bonds",10,"Relationships with parents",true,"Cultural sensitivity",59,"Respect for others",true,3793,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,20,348,"Cognitive control",34,"Managing thoughts",true,"Prospective view",72,"Future outlook",true,"Cognitive control",34,"Managing thoughts",true,"Prospective view",72,"Future outlook",true,2948,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,21,348,"Creativity and imagination",50,"Creativity and imagination",false,"Proficiencies",51,"Knowledge and skills",true,"Proficiencies",51,"Knowledge and skills",true,"Creativity and imagination",50,"Creativity and imagination",false,2756,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,22,348,"Cognitive control",34,"Managing thoughts",true,"Inbound communication",2,"Receptive communication",true,"Cognitive control",34,"Managing thoughts",true,"Inbound communication",2,"Receptive communication",true,3481,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,23,348,"Psychological balance",84,"Emotional well-being",true,"Self-awareness",76,"Self-awareness",false,"Self-awareness",76,"Self-awareness",false,"Psychological balance",84,"Emotional well-being",true,2133,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,24,348,"Confidence in groups",13,"Comfort in social situations",true,"Resourcefulness",27,"Resourcefulness",false,"Resourcefulness",27,"Resourcefulness",false,"Confidence in groups",13,"Comfort in social situations",true,2475,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,25,348,"Schedule planning",44,"Time management",true,"Self-awareness",76,"Self-awareness",false,"Self-awareness",76,"Self-awareness",false,"Schedule planning",44,"Time management",true,1911,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,26,348,"Reaction to group influence",22,"Response to peer pressure",true,"Proficiencies",51,"Knowledge and skills",true,"Reaction to group influence",22,"Response to peer pressure",true,"Proficiencies",51,"Knowledge and skills",true,2798,,,,,,,,,
5df77306c12a36506b5e95f4,forced_choice,27,348,"Creativity and imagination",50,"Creativity and imagination",false,"Self-reliance",68,"Independence",true,"Creativity and imagination",50,"Creativity and imagination",false,"Self-reliance",68,"Independence",true,4821,,,,,,,,,
