user_id,task,trial_index,subset_index,left_term,left_construct_id,left_canonical,left_is_synonym,right_term,right_construct_id,right_canonical,right_is_synonym,chosen_term,chosen_construct_id,chosen_canonical,chosen_is_synonym,unchosen_term,unchosen_construct_id,unchosen_canonical,unchosen_is_synonym,response_time,correct_word,chosen_word,passed,grade_levels,special_needs,school_type,experience,class_size,country
5f1bea7d46be2a4101756238,demographics,,,,,,,,,,,,,,,,,,,,,,,"primary","no","public","6-10","<15","United Kingdom"
5f1bea7d46be2a4101756238,forced_choice,0,381,"Educational outcomes",88,"Academic performance",true,"Managing emotions",29,"Managing emotions",false,"Educational outcomes",88,"Academic performance",true,"Managing emotions",29,"Managing emotions",false,9274,,,,,,,,,
5f1bea7d46be2a4101756238,forced_choice,1,381,"Emotional state",32,"Mood",true,"Motivation",54,"Motivation",false,"Emotional state",32,"Mood",true,"Motivation",54,"Motivation",false,3351,,,,,,,,,
5f1bea7d46be2a4101756238,forced_choice,2,381,"Responsibility",66,"Responsibility",false,"Educational outcomes",88,"Academic performance",true,"Educational outcomes",88,"Academic performance",true,"Responsibility",66,"Responsibility",false,3351,,,,,,,,,
5f1bea7d46be2a4101756238,forced_choice,3,381,"Willpower",75,"Self-control",true,"Requesting information",4,"Asking questions",true,"Requesting information",4,"Asking questions",true,"Willpower",75,"Self-control",true,7151,,,,,,,,,
5f1bea7d46be2a4101756238,forced_choice,4,381,"Cognitive control",34,"Managing thoughts",true,"Assisting others",63,"Helpfulness",true,"Cognitive control",34,"Managing thoughts",true,"Assisting others",63,"Helpfulness",true,4404,,,,,,,,,
5f1bea7d46be2a4101756238,forced_choice,5,381,"Responsibility",66,"Responsibility",false,"Recalling information",41,"Memory",true,"Responsibility",66,"Responsibility",false,"Recalling information",41,"Memory",true,3342,,,,,,,,,
5f1bea7d46be2a4101756238,forced_choice,6,381,"Handling disagreements",24,"Managing conflict",true,"Managing emotions",29,"Managing emotions",false,"Managing emotions",29,"Managing emotions",false,"Handling disagreements",24,"Managing conflict",true,2856,,,,,,,,,
5f1bea7d46be2a4101756238,forced_choice,7,381,"Messaging",1,"Expressive communication",true,"Assisting others",63,"Helpfulness",true,"Assisting others",63,"Helpfulness",true,"Messaging",1,"Expressive communication",true,4491,,,,,,,,,
5f1bea7d46be2a4101756238,forced_choice,8,381,"Cognitive control",34,"Managing thoughts",true,"Social conformity",22,"Response to peer pressure",true,"Cognitive control",34,"Managing thoughts",true,"Social conformity",22,"Response to peer pressure",true,1420,,,,,,,,,
5f1bea7d46be2a4101756238,forced_choice,9,381,"Bullying",23,"Bullying",false,"Exhaustion",85,"Sleep and fatigue",true,"Bullying",23,"Bullying",false,"Exhaustion",85,"Sleep and fatigue",true,8286,,,,,,,,,
5f1bea7d46be2a4101756238,forced_choice,10,381,"Managing emotions",29,"Managing emotions",false,"Starting projects",46,"Task initiation",true,"Managing emotions",29,"Managing emotions",false,"Starting projects",46,"Task initiation",true,2037,,,,,,,,,
5f1bea7d46be2a4101756238,forced_choice,11,381,"Handling disagreements",24,"Managing conflict",true,"Activity level",73,"Activity level",false,"Handling disagreements",24,"Managing conflict",true,"Activity level",73,"Activity level",false,1690,,,,,,,,,
5f1bea7d46be2a4101756238,forced_choice,12,381,"Assisting others",63,"Helpfulness",true,"Requesting information",4,"Asking questions",true,"Assisting others",63,"Helpfulness",true,"Requesting information",4,"Asking questions",true,2081,,,,,,,,,
5f1bea7d46be2a4101756238,forced_choice,13,381,"Assisting others",63,"Helpfulness",true,"Social connections",9,"Relationships with peers",true,"Assisting others",63,"Helpfulness",true,"Social connections",9,"Relationships with peers",true,1669,,,,,,,,,
5f1bea7d46be2a4101756238,forced_choice,14,381,"Recovery capacity",28,"Resilience",true,"Cognitive control",34,"Managing thoughts",true,"Cognitive control",34,"Managing thoughts",true,"Recovery capacity",28,"Resilience",true,2772,,,,,,,,,
5f1bea7d46be2a4101756238,forced_choice,15,381,"Starting projects",46,"Task initiation",true,"Willpower",75,"Self-control",true,"Starting projects",46,"Task initiation",true,"Willpower",75,"Self-control",true,2295,,,,,,,,,
5f1bea7d46be2a4101756238,forced_choice,16,381,"Personal security",21,"Sense of safety",true,"Messaging",1,"Expressive communication",true,"Personal security",21,"Sense of safety",true,"Messaging",1,"Expressive communication",true,3304,,,,,,,,,
5f1bea7d46be2a4101756238,forced_choice,17,381,"Organization",43,"Organization",false,"Social connections",9,"Relationships with peers",true,"Organization",43,"Organization",false,"Social connections",9,"Relationships with peers",true,4570,,,,,,,,,
5f1bea7d46be2a4101756238,forced_choice,18,381,"Social connections",9,"Relationships with peers",true,"Exhaustion",85,"Sleep and fatigue",true,"Social connections",9,"Relationships with peers",true,"Exhaustion",85,"Sleep and fatigue",true,1620,,,,,,,,,
5f1bea7d46be2a4101756238,forced_choice,19,381,"Student engagement",89,"Class participation",true,"Social conformity",22,"Response to peer pressure",true,"Student engagement",89,"Class participation",true,"Social conformity",22,"Response to peer pressure",true,1484,,,,,,,,,
