user_id,task,trial_index,subset_index,left_term,left_construct_id,left_canonical,left_is_synonym,right_term,right_construct_id,right_canonical,right_is_synonym,chosen_term,chosen_construct_id,chosen_canonical,chosen_is_synonym,unchosen_term,unchosen_construct_id,unchosen_canonical,unchosen_is_synonym,response_time,correct_word,chosen_word,passed,grade_levels,special_needs,school_type,experience,class_size,country
65c1b23b2d7406c9c2b9f331,demographics,,,,,,,,,,,,,,,,,,,,,,,"primary","no","public",">10","15-25","Australia"
65c1b23b2d7406c9c2b9f331,forced_choice,0,225,"Drowsiness",85,"Sleep and fatigue",true,"Managing behavior",0,"Managing behavior",false,"Managing behavior",0,"Managing behavior",false,"Drowsiness",85,"Sleep and fatigue",true,18638,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,1,225,"Gender expression",18,"Sexual behavior",true,"Managing behavior",0,"Managing behavior",false,"Managing behavior",0,"Managing behavior",false,"Gender expression",18,"Sexual behavior",true,4655,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,2,225,"Relationships with teachers",11,"Relationships with teachers",false,"Interpersonal ease",13,"Comfort in social situations",true,"Interpersonal ease",13,"Comfort in social situations",true,"Relationships with teachers",11,"Relationships with teachers",false,5153,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,3,225,"Mental regulation",34,"Managing thoughts",true,"Organization",43,"Organization",false,"Mental regulation",34,"Managing thoughts",true,"Organization",43,"Organization",false,4739,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,4,225,"Interpersonal ease",13,"Comfort in social situations",true,"Decision-making",36,"Decision-making",false,"Decision-making",36,"Decision-making",false,"Interpersonal ease",13,"Comfort in social situations",true,3555,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,5,225,"Social connections",9,"Relationships with peers",true,"Social communication",14,"Social communication",false,"Social connections",9,"Relationships with peers",true,"Social communication",14,"Social communication",false,6404,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,6,225,"Respect for others",17,"Respect for others",false,"Industriousness",67,"Work habits",true,"Respect for others",17,"Respect for others",false,"Industriousness",67,"Work habits",true,2999,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,7,225,"Drowsiness",85,"Sleep and fatigue",true,"Social communication",14,"Social communication",false,"Social communication",14,"Social communication",false,"Drowsiness",85,"Sleep and fatigue",true,2189,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,8,225,"Justice",60,"Fairness",true,"Interpersonal ease",13,"Comfort in social situations",true,"Justice",60,"Fairness",true,"Interpersonal ease",13,"Comfort in social situations",true,5826,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,9,225,"Managing behavior",0,"Managing behavior",false,"Industriousness",67,"Work habits",true,"Managing behavior",0,"Managing behavior",false,"Industriousness",67,"Work habits",true,4289,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,10,225,"Respectful",61,"Politeness",true,"Personal observation",77,"Self-monitoring",true,"Personal observation",77,"Self-monitoring",true,"Respectful",61,"Politeness",true,9772,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,11,225,"Personal observation",77,"Self-monitoring",true,"Organization",43,"Organization",false,"Personal observation",77,"Self-monitoring",true,"Organization",43,"Organization",false,3005,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,12,225,"Willingness to try new things",57,"Willingness to try new things",false,"Social connections",9,"Relationships with peers",true,"Social connections",9,"Relationships with peers",true,"Willingness to try new things",57,"Willingness to try new things",false,4575,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,13,225,"Managing behavior",0,"Managing behavior",false,"Relationships with unfamiliar people",8,"Relationships with unfamiliar people",false,"Managing behavior",0,"Managing behavior",false,"Relationships with unfamiliar people",8,"Relationships with unfamiliar people",false,7461,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,14,225,"Gender expression",18,"Sexual behavior",true,"Relationships with unfamiliar people",8,"Relationships with unfamiliar people",false,"Gender expression",18,"Sexual behavior",true,"Relationships with unfamiliar people",8,"Relationships with unfamiliar people",false,3265,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,15,225,"Gender expression",18,"Sexual behavior",true,"Trust in oneself",80,"Self-confidence",true,"Trust in oneself",80,"Self-confidence",true,"Gender expression",18,"Sexual behavior",true,3478,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,16,225,"Managing behavior",0,"Managing behavior",false,"Respectful",61,"Politeness",true,"Managing behavior",0,"Managing behavior",false,"Respectful",61,"Politeness",true,1634,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,17,225,"Social connections",9,"Relationships with peers",true,"Respect for others",17,"Respect for others",false,"Respect for others",17,"Respect for others",false,"Social connections",9,"Relationships with peers",true,2805,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,18,225,"Respectful",61,"Politeness",true,"Social connections",9,"Relationships with peers",true,"Social connections",9,"Relationships with peers",true,"Respectful",61,"Politeness",true,2274,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,19,225,"Respectful",61,"Politeness",true,"Interpersonal ease",13,"Comfort in social situations",true,"Interpersonal ease",13,"Comfort in social situations",true,"Respectful",61,"Politeness",true,2254,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,20,225,"Relationships with teachers",11,"Relationships with teachers",false,"Organization",43,"Organization",false,"Organization",43,"Organization",false,"Relationships with teachers",11,"Relationships with teachers",false,4018,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,21,225,"Personal observation",77,"Self-monitoring",true,"Exercizing authority",55,"Leadership",true,"Personal observation",77,"Self-monitoring",true,"Exercizing authority",55,"Leadership",true,3616,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,22,225,"Resilience",28,"Resilience",false,"Eating and diet",83,"Eating and diet",false,"Resilience",28,"Resilience",false,"Eating and diet",83,"Eating and diet",false,2160,,,,,,,,,
65c1b23b2d7406c9c2b9f331,forced_choice,23,225,"Managing behavior",0,"Managing behavior",false,"Social connections",9,"Relationships with peers",true,"Social connections",9,"Relationships with peers",true,"Managing behavior",0,"Managing behavior",false,1791,,,,,,,,,
