user_id,task,trial_index,subset_index,left_term,left_construct_id,left_canonical,left_is_synonym,right_term,right_construct_id,right_canonical,right_is_synonym,chosen_term,chosen_construct_id,chosen_canonical,chosen_is_synonym,unchosen_term,unchosen_construct_id,unchosen_canonical,unchosen_is_synonym,response_time,correct_word,chosen_word,passed,grade_levels,special_needs,school_type,experience,class_size,country
66472a03650f9441b8f815d9,demographics,,,,,,,,,,,,,,,,,,,,,,,"high_school","yes","public",">10","15-25","United States"
66472a03650f9441b8f815d9,forced_choice,0,262,"Accepting diversity",59,"Respect for others",true,"Seeking help",3,"Seeking help",false,"Accepting diversity",59,"Respect for others",true,"Seeking help",3,"Seeking help",false,8134,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,1,262,"Justice",60,"Fairness",true,"Symbolic processing",49,"Abstract thinking",true,"Symbolic processing",49,"Abstract thinking",true,"Justice",60,"Fairness",true,8986,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,2,262,"Task initiation",46,"Task initiation",false,"Mood perception",31,"Emotional awareness",true,"Task initiation",46,"Task initiation",false,"Mood perception",31,"Emotional awareness",true,4407,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,3,262,"Interpersonal participation",15,"Social activity",true,"Social cooperation",12,"Social cooperation",false,"Social cooperation",12,"Social cooperation",false,"Interpersonal participation",15,"Social activity",true,7200,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,4,262,"Navigating difficulties",25,"Coping skills",true,"Setting and striving for goals",45,"Setting and striving for goals",false,"Navigating difficulties",25,"Coping skills",true,"Setting and striving for goals",45,"Setting and striving for goals",false,3848,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,5,262,"Exhaustion",85,"Sleep and fatigue",true,"Task initiation",46,"Task initiation",false,"Task initiation",46,"Task initiation",false,"Exhaustion",85,"Sleep and fatigue",true,16166,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,6,262,"Rate of thought processing",48,"Thinking speed",true,"Seeking help",3,"Seeking help",false,"Rate of thought processing",48,"Thinking speed",true,"Seeking help",3,"Seeking help",false,2149,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,7,262,"Finding solutions in one's surroundings",27,"Resourcefulness",true,"Accepting diversity",59,"Respect for others",true,"Finding solutions in one's surroundings",27,"Resourcefulness",true,"Accepting diversity",59,"Respect for others",true,5645,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,8,262,"Setting and striving for goals",45,"Setting and striving for goals",false,"Justice",60,"Fairness",true,"Setting and striving for goals",45,"Setting and striving for goals",false,"Justice",60,"Fairness",true,2829,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,9,262,"Interpersonal participation",15,"Social activity",true,"Justice",60,"Fairness",true,"Interpersonal participation",15,"Social activity",true,"Justice",60,"Fairness",true,4180,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,10,262,"Exhaustion",85,"Sleep and fatigue",true,"Mood perception",31,"Emotional awareness",true,"Exhaustion",85,"Sleep and fatigue",true,"Mood perception",31,"Emotional awareness",true,2219,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,11,262,"Asking questions",4,"Asking questions",false,"Exhaustion",85,"Sleep and fatigue",true,"Asking questions",4,"Asking questions",false,"Exhaustion",85,"Sleep and fatigue",true,2064,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,12,262,"Finding solutions in one's surroundings",27,"Resourcefulness",true,"Individual championing",81,"Self-advocacy",true,"Individual championing",81,"Self-advocacy",true,"Finding solutions in one's surroundings",27,"Resourcefulness",true,3514,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,13,262,"Psychological toughness",28,"Resilience",true,"Symbolic processing",49,"Abstract thinking",true,"Psychological toughness",28,"Resilience",true,"Symbolic processing",49,"Abstract thinking",true,2703,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,14,262,"Seeking help",3,"Seeking help",false,"Social cooperation",12,"Social cooperation",false,"Social cooperation",12,"Social cooperation",false,"Seeking help",3,"Seeking help",false,2581,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,15,262,"Social validation",20,"Social belonging",true,"Social cooperation",12,"Social cooperation",false,"Social cooperation",12,"Social cooperation",false,"Social validation",20,"Social belonging",true,3345,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,16,262,"Personal security",21,"Sense of safety",true,"Ingenuity",50,"Creativity and imagination",true,"Ingenuity",50,"Creativity and imagination",true,"Personal security",21,"Sense of safety",true,3865,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,17,262,"Task initiation",46,"Task initiation",false,"Symbolic processing",49,"Abstract thinking",true,"Task initiation",46,"Task initiation",false,"Symbolic processing",49,"Abstract thinking",true,2150,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,18,262,"Interpersonal participation",15,"Social activity",true,"Inner understanding",76,"Self-awareness",true,"Inner understanding",76,"Self-awareness",true,"Interpersonal participation",15,"Social activity",true,2848,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,19,262,"Justice",60,"Fairness",true,"Ability to wait",62,"Patience",true,"Ability to wait",62,"Patience",true,"Justice",60,"Fairness",true,1781,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,20,262,"Class participation",89,"Class participation",false,"Accepting diversity",59,"Respect for others",true,"Class participation",89,"Class participation",false,"Accepting diversity",59,"Respect for others",true,1749,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,21,262,"Personal security",21,"Sense of safety",true,"Individual championing",81,"Self-advocacy",true,"Personal security",21,"Sense of safety",true,"Individual championing",81,"Self-advocacy",true,2646,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,22,262,"Exhaustion",85,"Sleep and fatigue",true,"Social communication",14,"Social communication",false,"Social communication",14,"Social communication",false,"Exhaustion",85,"Sleep and fatigue",true,2567,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,23,262,"Individual championing",81,"Self-advocacy",true,"Seeking help",3,"Seeking help",false,"Seeking help",3,"Seeking help",false,"Individual championing",81,"Self-advocacy",true,3014,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,24,262,"Ingenuity",50,"Creativity and imagination",true,"Navigating difficulties",25,"Coping skills",true,"Navigating difficulties",25,"Coping skills",true,"Ingenuity",50,"Creativity and imagination",true,1931,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,25,262,"Individual championing",81,"Self-advocacy",true,"Attention",40,"Attention",false,"Attention",40,"Attention",false,"Individual championing",81,"Self-advocacy",true,7545,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,26,262,"Interpersonal participation",15,"Social activity",true,"Ability to wait",62,"Patience",true,"Ability to wait",62,"Patience",true,"Interpersonal participation",15,"Social activity",true,2101,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,27,262,"Navigating difficulties",25,"Coping skills",true,"Class participation",89,"Class participation",false,"Class participation",89,"Class participation",false,"Navigating difficulties",25,"Coping skills",true,16082,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,28,262,"Personal security",21,"Sense of safety",true,"Ability to wait",62,"Patience",true,"Ability to wait",62,"Patience",true,"Personal security",21,"Sense of safety",true,2948,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,29,262,"Asking questions",4,"Asking questions",false,"Finding solutions in one's surroundings",27,"Resourcefulness",true,"Asking questions",4,"Asking questions",false,"Finding solutions in one's surroundings",27,"Resourcefulness",true,2099,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,30,262,"Inner understanding",76,"Self-awareness",true,"Social communication",14,"Social communication",false,"Social communication",14,"Social communication",false,"Inner understanding",76,"Self-awareness",true,1748,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,31,262,"Setting and striving for goals",45,"Setting and striving for goals",false,"Mood perception",31,"Emotional awareness",true,"Setting and striving for goals",45,"Setting and striving for goals",false,"Mood perception",31,"Emotional awareness",true,1863,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,32,262,"Ingenuity",50,"Creativity and imagination",true,"Psychological toughness",28,"Resilience",true,"Psychological toughness",28,"Resilience",true,"Ingenuity",50,"Creativity and imagination",true,2766,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,33,262,"Seeking help",3,"Seeking help",false,"Attention",40,"Attention",false,"Seeking help",3,"Seeking help",false,"Attention",40,"Attention",false,3527,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,34,262,"Attention",40,"Attention",false,"Task initiation",46,"Task initiation",false,"Task initiation",46,"Task initiation",false,"Attention",40,"Attention",false,2487,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,35,262,"Attention",40,"Attention",false,"Navigating difficulties",25,"Coping skills",true,"Navigating difficulties",25,"Coping skills",true,"Attention",40,"Attention",false,3844,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,36,262,"Setting and striving for goals",45,"Setting and striving for goals",false,"Ability to wait",62,"Patience",true,"Setting and striving for goals",45,"Setting and striving for goals",false,"Ability to wait",62,"Patience",true,1985,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,37,262,"Social communication",14,"Social communication",false,"Class participation",89,"Class participation",false,"Class participation",89,"Class participation",false,"Social communication",14,"Social communication",false,3147,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,38,262,"Social validation",20,"Social belonging",true,"Memory",41,"Memory",false,"Memory",41,"Memory",false,"Social validation",20,"Social belonging",true,1748,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,39,262,"Memory",41,"Memory",false,"Psychological toughness",28,"Resilience",true,"Psychological toughness",28,"Resilience",true,"Memory",41,"Memory",false,2229,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,40,262,"Social validation",20,"Social belonging",true,"Attention",40,"Attention",false,"Attention",40,"Attention",false,"Social validation",20,"Social belonging",true,2364,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,41,262,"Memory",41,"Memory",false,"Finding solutions in one's surroundings",27,"Resourcefulness",true,"Memory",41,"Memory",false,"Finding solutions in one's surroundings",27,"Resourcefulness",true,4851,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,42,262,"Exhaustion",85,"Sleep and fatigue",true,"Memory",41,"Memory",false,"Memory",41,"Memory",false,"Exhaustion",85,"Sleep and fatigue",true,2783,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,43,262,"Ability to wait",62,"Patience",true,"Psychological toughness",28,"Resilience",true,"Ability to wait",62,"Patience",true,"Psychological toughness",28,"Resilience",true,5264,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,44,262,"Interpersonal participation",15,"Social activity",true,"Social communication",14,"Social communication",false,"Social communication",14,"Social communication",false,"Interpersonal participation",15,"Social activity",true,3697,,,,,,,,,
66472a03650f9441b8f815d9,forced_choice,45,262,"Social communication",14,"Social communication",false,"Mood perception",31,"Emotional awareness",true,"Social communication",14,"Social communication",false,"Mood perception",31,"Emotional awareness",true,1715,,,,,,,,,
