user_id,task,trial_index,subset_index,left_term,left_construct_id,left_canonical,left_is_synonym,right_term,right_construct_id,right_canonical,right_is_synonym,chosen_term,chosen_construct_id,chosen_canonical,chosen_is_synonym,unchosen_term,unchosen_construct_id,unchosen_canonical,unchosen_is_synonym,response_time,correct_word,chosen_word,passed,grade_levels,special_needs,school_type,experience,class_size,country
664b5195ae42ba03b70189c6,demographics,,,,,,,,,,,,,,,,,,,,,,,"middle|high_school","no","public","2-5","15-25","Kenya"
664b5195ae42ba03b70189c6,forced_choice,0,57,"Requesting assistance",3,"Seeking help",true,"Response to criticism",39,"Learning from feedback and mistakes",true,"Requesting assistance",3,"Seeking help",true,"Response to criticism",39,"Learning from feedback and mistakes",true,28515,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,1,57,"Recognition of feelings",31,"Emotional awareness",true,"Asking questions",4,"Asking questions",false,"Asking questions",4,"Asking questions",false,"Recognition of feelings",31,"Emotional awareness",true,43295,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,2,57,"Requesting assistance",3,"Seeking help",true,"Learning new things",38,"Learning new things",false,"Requesting assistance",3,"Seeking help",true,"Learning new things",38,"Learning new things",false,37085,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,3,57,"Self-awareness",76,"Self-awareness",false,"Politeness",61,"Politeness",false,"Politeness",61,"Politeness",false,"Self-awareness",76,"Self-awareness",false,14344,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,4,57,"Politeness",61,"Politeness",false,"Asking questions",4,"Asking questions",false,"Asking questions",4,"Asking questions",false,"Politeness",61,"Politeness",false,10758,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,5,57,"Managing thoughts",34,"Managing thoughts",false,"Recognition of feelings",31,"Emotional awareness",true,"Recognition of feelings",31,"Emotional awareness",true,"Managing thoughts",34,"Managing thoughts",false,8615,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,6,57,"Politeness",61,"Politeness",false,"Recognition of feelings",31,"Emotional awareness",true,"Recognition of feelings",31,"Emotional awareness",true,"Politeness",61,"Politeness",false,11993,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,7,57,"Recreation",19,"Play",true,"Managing thoughts",34,"Managing thoughts",false,"Managing thoughts",34,"Managing thoughts",false,"Recreation",19,"Play",true,7821,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,8,57,"Showing feelings",30,"Emotional expression",true,"Relationships with teachers",11,"Relationships with teachers",false,"Relationships with teachers",11,"Relationships with teachers",false,"Showing feelings",30,"Emotional expression",true,4341,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,9,57,"Penmanship",53,"Writing",true,"Motivation",54,"Motivation",false,"Motivation",54,"Motivation",false,"Penmanship",53,"Writing",true,2355,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,10,57,"Penmanship",53,"Writing",true,"Showing feelings",30,"Emotional expression",true,"Showing feelings",30,"Emotional expression",true,"Penmanship",53,"Writing",true,5197,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,11,57,"Motivation",54,"Motivation",false,"Response to criticism",39,"Learning from feedback and mistakes",true,"Motivation",54,"Motivation",false,"Response to criticism",39,"Learning from feedback and mistakes",true,2123,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,12,57,"Recognition of feelings",31,"Emotional awareness",true,"Following directions",5,"Following directions",false,"Following directions",5,"Following directions",false,"Recognition of feelings",31,"Emotional awareness",true,3191,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,13,57,"Asking questions",4,"Asking questions",false,"Personal appearance",82,"Self-care / hygiene",true,"Asking questions",4,"Asking questions",false,"Personal appearance",82,"Self-care / hygiene",true,5041,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,14,57,"Response to criticism",39,"Learning from feedback and mistakes",true,"Recreation",19,"Play",true,"Recreation",19,"Play",true,"Response to criticism",39,"Learning from feedback and mistakes",true,5666,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,15,57,"Asking questions",4,"Asking questions",false,"Psychological balance",84,"Emotional well-being",true,"Psychological balance",84,"Emotional well-being",true,"Asking questions",4,"Asking questions",false,3358,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,16,57,"Social awareness",16,"Social awareness",false,"Learning new things",38,"Learning new things",false,"Social awareness",16,"Social awareness",false,"Learning new things",38,"Learning new things",false,4176,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,17,57,"Following directions",5,"Following directions",false,"Starting projects",46,"Task initiation",true,"Following directions",5,"Following directions",false,"Starting projects",46,"Task initiation",true,2733,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,18,57,"Relationships with teachers",11,"Relationships with teachers",false,"Recreation",19,"Play",true,"Relationships with teachers",11,"Relationships with teachers",false,"Recreation",19,"Play",true,2694,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,19,57,"Requesting assistance",3,"Seeking help",true,"Managing thoughts",34,"Managing thoughts",false,"Requesting assistance",3,"Seeking help",true,"Managing thoughts",34,"Managing thoughts",false,4765,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,20,57,"Strategic preparation",42,"Planning",true,"Asking questions",4,"Asking questions",false,"Strategic preparation",42,"Planning",true,"Asking questions",4,"Asking questions",false,2309,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,21,57,"Social conformity",22,"Response to peer pressure",true,"Future outlook",72,"Future outlook",false,"Social conformity",22,"Response to peer pressure",true,"Future outlook",72,"Future outlook",false,2242,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,22,57,"Relationships with teachers",11,"Relationships with teachers",false,"Requesting assistance",3,"Seeking help",true,"Requesting assistance",3,"Seeking help",true,"Relationships with teachers",11,"Relationships with teachers",false,3706,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,23,57,"Recreation",19,"Play",true,"Psychological balance",84,"Emotional well-being",true,"Psychological balance",84,"Emotional well-being",true,"Recreation",19,"Play",true,2133,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,24,57,"Social conformity",22,"Response to peer pressure",true,"Penmanship",53,"Writing",true,"Social conformity",22,"Response to peer pressure",true,"Penmanship",53,"Writing",true,1774,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,25,57,"Future outlook",72,"Future outlook",false,"Reasoning ability",35,"Reasoning ability",false,"Reasoning ability",35,"Reasoning ability",false,"Future outlook",72,"Future outlook",false,4378,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,26,57,"Respect for others",59,"Respect for others",false,"Reasoning ability",35,"Reasoning ability",false,"Respect for others",59,"Respect for others",false,"Reasoning ability",35,"Reasoning ability",false,1940,,,,,,,,,
664b5195ae42ba03b70189c6,forced_choice,27,57,"Learning new things",38,"Learning new things",false,"Text comprehension",52,"Reading",true,"Learning new things",38,"Learning new things",false,"Text comprehension",52,"Reading",true,3588,,,,,,,,,
