user_id,task,trial_index,subset_index,left_term,left_construct_id,left_canonical,left_is_synonym,right_term,right_construct_id,right_canonical,right_is_synonym,chosen_term,chosen_construct_id,chosen_canonical,chosen_is_synonym,unchosen_term,unchosen_construct_id,unchosen_canonical,unchosen_is_synonym,response_time,correct_word,chosen_word,passed,grade_levels,special_needs,school_type,experience,class_size,country
668d47c713ff36650d859118,demographics,,,,,,,,,,,,,,,,,,,,,,,"primary","no","public","2-5",">25","South Africa"
668d47c713ff36650d859118,forced_choice,0,370,"Task initiation",46,"Task initiation",false,"Assisting others",63,"Helpfulness",true,"Task initiation",46,"Task initiation",false,"Assisting others",63,"Helpfulness",true,10056,,,,,,,,,
668d47c713ff36650d859118,forced_choice,1,370,"Inbound communication",2,"Receptive communication",true,"Directness",70,"Assertiveness",true,"Inbound communication",2,"Receptive communication",true,"Directness",70,"Assertiveness",true,9587,,,,,,,,,
668d47c713ff36650d859118,forced_choice,2,370,"Inbound communication",2,"Receptive communication",true,"Courteous",61,"Politeness",true,"Inbound communication",2,"Receptive communication",true,"Courteous",61,"Politeness",true,3361,,,,,,,,,
668d47c713ff36650d859118,forced_choice,3,370,"Academic performance",88,"Academic performance",false,"Independence",68,"Independence",false,"Independence",68,"Independence",false,"Academic performance",88,"Academic performance",false,2727,,,,,,,,,
668d47c713ff36650d859118,forced_choice,4,370,"Self-awareness",76,"Self-awareness",false,"Self-starting",69,"Initiative",true,"Self-starting",69,"Initiative",true,"Self-awareness",76,"Self-awareness",false,4888,,,,,,,,,
668d47c713ff36650d859118,forced_choice,5,370,"Belief in oneself",80,"Self-confidence",true,"Situational awareness",7,"Perception",true,"Situational awareness",7,"Perception",true,"Belief in oneself",80,"Self-confidence",true,2723,,,,,,,,,
668d47c713ff36650d859118,forced_choice,6,370,"Task initiation",46,"Task initiation",false,"Relationships with teachers",11,"Relationships with teachers",false,"Task initiation",46,"Task initiation",false,"Relationships with teachers",11,"Relationships with teachers",false,2402,,,,,,,,,
668d47c713ff36650d859118,forced_choice,7,370,"Belief in oneself",80,"Self-confidence",true,"Courteous",61,"Politeness",true,"Belief in oneself",80,"Self-confidence",true,"Courteous",61,"Politeness",true,1982,,,,,,,,,
668d47c713ff36650d859118,forced_choice,8,370,"Frustration tolerance",62,"Patience",true,"Exhaustion",85,"Sleep and fatigue",true,"Frustration tolerance",62,"Patience",true,"Exhaustion",85,"Sleep and fatigue",true,4579,,,,,,,,,
668d47c713ff36650d859118,forced_choice,9,370,"Working for outcomes",45,"Setting and striving for goals",true,"Task initiation",46,"Task initiation",false,"Task initiation",46,"Task initiation",false,"Working for outcomes",45,"Setting and striving for goals",true,2926,,,,,,,,,
668d47c713ff36650d859118,forced_choice,10,370,"Text comprehension",52,"Reading",true,"Independence",68,"Independence",false,"Text comprehension",52,"Reading",true,"Independence",68,"Independence",false,1875,,,,,,,,,
668d47c713ff36650d859118,forced_choice,11,370,"Assisting others",63,"Helpfulness",true,"Group interaction",15,"Social activity",true,"Group interaction",15,"Social activity",true,"Assisting others",63,"Helpfulness",true,1928,,,,,,,,,
668d47c713ff36650d859118,forced_choice,12,370,"Inbound communication",2,"Receptive communication",true,"Text comprehension",52,"Reading",true,"Text comprehension",52,"Reading",true,"Inbound communication",2,"Receptive communication",true,2903,,,,,,,,,
668d47c713ff36650d859118,forced_choice,13,370,"Task initiation",46,"Task initiation",false,"Self-starting",69,"Initiative",true,"Task initiation",46,"Task initiation",false,"Self-starting",69,"Initiative",true,2849,,,,,,,,,
668d47c713ff36650d859118,forced_choice,14,370,"Drive or ambition",54,"Motivation",true,"Regulating feelings",29,"Managing emotions",true,"Regulating feelings",29,"Managing emotions",true,"Drive or ambition",54,"Motivation",true,12874,,,,,,,,,
668d47c713ff36650d859118,forced_choice,15,370,"Drive or ambition",54,"Motivation",true,"Group interaction",15,"Social activity",true,"Group interaction",15,"Social activity",true,"Drive or ambition",54,"Motivation",true,6194,,,,,,,,,
668d47c713ff36650d859118,forced_choice,16,370,"Text comprehension",52,"Reading",true,"Courteous",61,"Politeness",true,"Text comprehension",52,"Reading",true,"Courteous",61,"Politeness",true,2248,,,,,,,,,
668d47c713ff36650d859118,forced_choice,17,370,"Assisting others",63,"Helpfulness",true,"Compassion",64,"Kindness and caring",true,"Compassion",64,"Kindness and caring",true,"Assisting others",63,"Helpfulness",true,3597,,,,,,,,,
668d47c713ff36650d859118,forced_choice,18,370,"Exhaustion",85,"Sleep and fatigue",true,"Task initiation",46,"Task initiation",false,"Task initiation",46,"Task initiation",false,"Exhaustion",85,"Sleep and fatigue",true,1430,,,,,,,,,
668d47c713ff36650d859118,forced_choice,19,370,"Self-advocacy",81,"Self-advocacy",false,"Assisting others",63,"Helpfulness",true,"Self-advocacy",81,"Self-advocacy",false,"Assisting others",63,"Helpfulness",true,2766,,,,,,,,,
668d47c713ff36650d859118,forced_choice,20,370,"Play",19,"Play",false,"Courteous",61,"Politeness",true,"Play",19,"Play",false,"Courteous",61,"Politeness",true,1695,,,,,,,,,
668d47c713ff36650d859118,forced_choice,21,370,"Drug intake",87,"Substance use",true,"Play",19,"Play",false,"Play",19,"Play",false,"Drug intake",87,"Substance use",true,1824,,,,,,,,,
668d47c713ff36650d859118,forced_choice,22,370,"Self-advocacy",81,"Self-advocacy",false,"Frustration tolerance",62,"Patience",true,"Self-advocacy",81,"Self-advocacy",false,"Frustration tolerance",62,"Patience",true,3223,,,,,,,,,
668d47c713ff36650d859118,forced_choice,23,370,"Relationships with teachers",11,"Relationships with teachers",false,"Exhaustion",85,"Sleep and fatigue",true,"Relationships with teachers",11,"Relationships with teachers",false,"Exhaustion",85,"Sleep and fatigue",true,3682,,,,,,,,,
668d47c713ff36650d859118,forced_choice,24,370,"Independence",68,"Independence",false,"Self-advocacy",81,"Self-advocacy",false,"Independence",68,"Independence",false,"Self-advocacy",81,"Self-advocacy",false,2048,,,,,,,,,
668d47c713ff36650d859118,forced_choice,25,370,"Compassion",64,"Kindness and caring",true,"Penmanship",53,"Writing",true,"Compassion",64,"Kindness and caring",true,"Penmanship",53,"Writing",true,2107,,,,,,,,,
668d47c713ff36650d859118,forced_choice,26,370,"Situational awareness",7,"Perception",true,"Relationships with teachers",11,"Relationships with teachers",false,"Situational awareness",7,"Perception",true,"Relationships with teachers",11,"Relationships with teachers",false,2258,,,,,,,,,
668d47c713ff36650d859118,forced_choice,27,370,"Self-awareness",76,"Self-awareness",false,"Task initiation",46,"Task initiation",false,"Task initiation",46,"Task initiation",false,"Self-awareness",76,"Self-awareness",false,2488,,,,,,,,,
668d47c713ff36650d859118,forced_choice,28,370,"Directness",70,"Assertiveness",true,"Drive or ambition",54,"Motivation",true,"Drive or ambition",54,"Motivation",true,"Directness",70,"Assertiveness",true,2503,,,,,,,,,
668d47c713ff36650d859118,forced_choice,29,370,"Group interaction",15,"Social activity",true,"Relationships with teachers",11,"Relationships with teachers",false,"Group interaction",15,"Social activity",true,"Relationships with teachers",11,"Relationships with teachers",false,2392,,,,,,,,,
668d47c713ff36650d859118,forced_choice,30,370,"Self-advocacy",81,"Self-advocacy",false,"Directness",70,"Assertiveness",true,"Self-advocacy",81,"Self-advocacy",false,"Directness",70,"Assertiveness",true,1884,,,,,,,,,
668d47c713ff36650d859118,forced_choice,31,370,"Regulating feelings",29,"Managing emotions",true,"Independence",68,"Independence",false,"Regulating feelings",29,"Managing emotions",true,"Independence",68,"Independence",false,2382,,,,,,,,,
668d47c713ff36650d859118,forced_choice,32,370,"Drive or ambition",54,"Motivation",true,"Academic performance",88,"Academic performance",false,"Drive or ambition",54,"Motivation",true,"Academic performance",88,"Academic performance",false,2964,,,,,,,,,
668d47c713ff36650d859118,forced_choice,33,370,"Drive or ambition",54,"Motivation",true,"Inbound communication",2,"Receptive communication",true,"Inbound communication",2,"Receptive communication",true,"Drive or ambition",54,"Motivation",true,3394,,,,,,,,,
668d47c713ff36650d859118,forced_choice,34,370,"Inbound communication",2,"Receptive communication",true,"Self-advocacy",81,"Self-advocacy",false,"Inbound communication",2,"Receptive communication",true,"Self-advocacy",81,"Self-advocacy",false,3065,,,,,,,,,
668d47c713ff36650d859118,forced_choice,35,370,"Penmanship",53,"Writing",true,"Belief in oneself",80,"Self-confidence",true,"Belief in oneself",80,"Self-confidence",true,"Penmanship",53,"Writing",true,1371,,,,,,,,,
668d47c713ff36650d859118,forced_choice,36,370,"Self-starting",69,"Initiative",true,"Compassion",64,"Kindness and caring",true,"Compassion",64,"Kindness and caring",true,"Self-starting",69,"Initiative",true,2298,,,,,,,,,
668d47c713ff36650d859118,forced_choice,37,370,"Self-awareness",76,"Self-awareness",false,"Play",19,"Play",false,"Self-awareness",76,"Self-awareness",false,"Play",19,"Play",false,10245,,,,,,,,,
668d47c713ff36650d859118,forced_choice,38,370,"Regulating feelings",29,"Managing emotions",true,"Perseverance",71,"Perseverance",false,"Regulating feelings",29,"Managing emotions",true,"Perseverance",71,"Perseverance",false,2108,,,,,,,,,
668d47c713ff36650d859118,forced_choice,39,370,"Self-advocacy",81,"Self-advocacy",false,"Text comprehension",52,"Reading",true,"Text comprehension",52,"Reading",true,"Self-advocacy",81,"Self-advocacy",false,1474,,,,,,,,,
668d47c713ff36650d859118,forced_choice,40,370,"Drive or ambition",54,"Motivation",true,"Self-awareness",76,"Self-awareness",false,"Self-awareness",76,"Self-awareness",false,"Drive or ambition",54,"Motivation",true,1949,,,,,,,,,
668d47c713ff36650d859118,forced_choice,41,370,"Academic performance",88,"Academic performance",false,"Inbound communication",2,"Receptive communication",true,"Inbound communication",2,"Receptive communication",true,"Academic performance",88,"Academic performance",false,3967,,,,,,,,,
668d47c713ff36650d859118,forced_choice,42,370,"Self-awareness",76,"Self-awareness",false,"Exhaustion",85,"Sleep and fatigue",true,"Self-awareness",76,"Self-awareness",false,"Exhaustion",85,"Sleep and fatigue",true,1487,,,,,,,,,
668d47c713ff36650d859118,forced_choice,43,370,"Perseverance",71,"Perseverance",false,"Inbound communication",2,"Receptive communication",true,"Perseverance",71,"Perseverance",false,"Inbound communication",2,"Receptive communication",true,1855,,,,,,,,,
668d47c713ff36650d859118,forced_choice,44,370,"Perseverance",71,"Perseverance",false,"Text comprehension",52,"Reading",true,"Text comprehension",52,"Reading",true,"Perseverance",71,"Perseverance",false,1158,,,,,,,,,
668d47c713ff36650d859118,forced_choice,45,370,"Inbound communication",2,"Receptive communication",true,"Assisting others",63,"Helpfulness",true,"Inbound communication",2,"Receptive communication",true,"Assisting others",63,"Helpfulness",true,1154,,,,,,,,,
668d47c713ff36650d859118,forced_choice,46,370,"Play",19,"Play",false,"Self-starting",69,"Initiative",true,"Self-starting",69,"Initiative",true,"Play",19,"Play",false,1354,,,,,,,,,
668d47c713ff36650d859118,forced_choice,47,370,"Play",19,"Play",false,"Resilience",28,"Resilience",false,"Resilience",28,"Resilience",false,"Play",19,"Play",false,1698,,,,,,,,,
668d47c713ff36650d859118,forced_choice,48,370,"Resilience",28,"Resilience",false,"Self-advocacy",81,"Self-advocacy",false,"Resilience",28,"Resilience",false,"Self-advocacy",81,"Self-advocacy",false,1288,,,,,,,,,
668d47c713ff36650d859118,forced_choice,49,370,"Belief in oneself",80,"Self-confidence",true,"Compassion",64,"Kindness and caring",true,"Belief in oneself",80,"Self-confidence",true,"Compassion",64,"Kindness and caring",true,1668,,,,,,,,,
668d47c713ff36650d859118,forced_choice,50,370,"Self-advocacy",81,"Self-advocacy",false,"Courteous",61,"Politeness",true,"Self-advocacy",81,"Self-advocacy",false,"Courteous",61,"Politeness",true,1451,,,,,,,,,
