user_id,task,trial_index,subset_index,left_term,left_construct_id,left_canonical,left_is_synonym,right_term,right_construct_id,right_canonical,right_is_synonym,chosen_term,chosen_construct_id,chosen_canonical,chosen_is_synonym,unchosen_term,unchosen_construct_id,unchosen_canonical,unchosen_is_synonym,response_time,correct_word,chosen_word,passed,grade_levels,special_needs,school_type,experience,class_size,country
66952022eeb1290c2d6564f7,demographics,,,,,,,,,,,,,,,,,,,,,,,"middle","yes","public","2-5",">25","South Africa"
66952022eeb1290c2d6564f7,forced_choice,0,198,"Reasoning ability",35,"Reasoning ability",false,"Emotional well-being",84,"Emotional well-being",false,"Reasoning ability",35,"Reasoning ability",false,"Emotional well-being",84,"Emotional well-being",false,20191,,,,,,,,,
66952022eeb1290c2d6564f7,forced_choice,1,198,"Prospective view",72,"Future outlook",true,"Receptive communication",2,"Receptive communication",false,"Receptive communication",2,"Receptive communication",false,"Prospective view",72,"Future outlook",true,4490,,,,,,,,,
66952022eeb1290c2d6564f7,forced_choice,2,198,"Exertion",74,"Effort",true,"Restraint",75,"Self-control",true,"Exertion",74,"Effort",true,"Restraint",75,"Self-control",true,4048,,,,,,,,,
66952022eeb1290c2d6564f7,forced_choice,3,198,"Self-awareness",76,"Self-awareness",false,"Receptive communication",2,"Receptive communication",false,"Self-awareness",76,"Self-awareness",false,"Receptive communication",2,"Receptive communication",false,3378,,,,,,,,,
66952022eeb1290c2d6564f7,forced_choice,4,198,"Respectful",61,"Politeness",true,"Restraint",75,"Self-control",true,"Respectful",61,"Politeness",true,"Restraint",75,"Self-control",true,1598,,,,,,,,,
66952022eeb1290c2d6564f7,forced_choice,5,198,"Prospective view",72,"Future outlook",true,"Reasoning ability",35,"Reasoning ability",false,"Reasoning ability",35,"Reasoning ability",false,"Prospective view",72,"Future outlook",true,3919,,,,,,,,,
66952022eeb1290c2d6564f7,forced_choice,6,198,"Gender expression",18,"Sexual behavior",true,"Respectful",61,"Politeness",true,"Gender expression",18,"Sexual behavior",true,"Respectful",61,"Politeness",true,3998,,,,,,,,,
66952022eeb1290c2d6564f7,forced_choice,7,198,"Prospective view",72,"Future outlook",true,"Exertion",74,"Effort",true,"Prospective view",72,"Future outlook",true,"Exertion",74,"Effort",true,1861,,,,,,,,,
66952022eeb1290c2d6564f7,forced_choice,8,198,"Collaboration with others",12,"Social cooperation",true,"Respectful",61,"Politeness",true,"Collaboration with others",12,"Social cooperation",true,"Respectful",61,"Politeness",true,1681,,,,,,,,,
66952022eeb1290c2d6564f7,forced_choice,9,198,"Introspection",78,"Self-reflection",true,"Reasoning ability",35,"Reasoning ability",false,"Reasoning ability",35,"Reasoning ability",false,"Introspection",78,"Self-reflection",true,2486,,,,,,,,,
66952022eeb1290c2d6564f7,forced_choice,10,198,"Relationships with teachers",11,"Relationships with teachers",false,"Observation",7,"Perception",true,"Relationships with teachers",11,"Relationships with teachers",false,"Observation",7,"Perception",true,2031,,,,,,,,,
66952022eeb1290c2d6564f7,forced_choice,11,198,"Gender expression",18,"Sexual behavior",true,"Observation",7,"Perception",true,"Observation",7,"Perception",true,"Gender expression",18,"Sexual behavior",true,1965,,,,,,,,,
66952022eeb1290c2d6564f7,forced_choice,12,198,"Restraint",75,"Self-control",true,"Justice",60,"Fairness",true,"Justice",60,"Fairness",true,"Restraint",75,"Self-control",true,2411,,,,,,,,,
66952022eeb1290c2d6564f7,forced_choice,13,198,"Introspection",78,"Self-reflection",true,"Accountability",66,"Responsibility",true,"Accountability",66,"Responsibility",true,"Introspection",78,"Self-reflection",true,1565,,,,,,,,,
66952022eeb1290c2d6564f7,forced_choice,14,198,"Self-awareness",76,"Self-awareness",false,"Emotional well-being",84,"Emotional well-being",false,"Self-awareness",76,"Self-awareness",false,"Emotional well-being",84,"Emotional well-being",false,2452,,,,,,,,,
66952022eeb1290c2d6564f7,forced_choice,15,198,"Helpfulness",63,"Helpfulness",false,"Observation",7,"Perception",true,"Helpfulness",63,"Helpfulness",false,"Observation",7,"Perception",true,2911,,,,,,,,,
66952022eeb1290c2d6564f7,forced_choice,16,198,"Reasoning ability",35,"Reasoning ability",false,"Self-acceptance",79,"Self-acceptance",false,"Self-acceptance",79,"Self-acceptance",false,"Reasoning ability",35,"Reasoning ability",false,1969,,,,,,,,,
66952022eeb1290c2d6564f7,forced_choice,17,198,"Exertion",74,"Effort",true,"Gender expression",18,"Sexual behavior",true,"Gender expression",18,"Sexual behavior",true,"Exertion",74,"Effort",true,2611,,,,,,,,,
